"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Perturbation1","Perturbation2","Category"
"Bmp4ri+Meki...31",-0.162589347763188,0.270674155698177,-0.0811481008601622,-0.352805956192932,-6.79796089277997,-0.0358298425895071,-0.376102763012118,"XX","Bmp4ri","Meki","Sim_Final"
"Fgf4+Meki...32",-0.0827749910543981,0.450435471120288,-0.0413128745221656,-0.179615148652563,-6.64639586351375,-0.0182411390452631,-0.0033806183931236,"XX","Fgf4","Meki","Sim_Final"
"Gsk3i+Meki...33",-0.623005514299116,0.624678893023144,-0.310932133352674,-1.35183334490644,-6.4994832239498,-0.140336267082905,-0.0260084287798883,"XX","Gsk3i","Meki","Sim_Final"
"Igfri+Meki...34",-0.685156955855443,0.623753946733885,-0.341960814307341,-1.48673611327167,-6.50026308868917,-0.150988156451444,-0.0279825364839875,"XX","Igfri","Meki","Sim_Final"
"Jaki+Meki...35",-0.502516596111076,0.487047252122065,-0.246037919879142,-1.06969408602999,-6.61552678778413,-1.72533317934996,-0.319754871990377,"XX","Jaki","Meki","Sim_Final"
"Pi3ki...36",-1.26517028348694,-0.019577189498172,-0.63144460065866,-2.74531891389722,-0.067615747938523,-0.278805793429245,-0.0516708957175055,"XX","Pi3ki",NA,"Sim_Final"
"Activin+Pi3ki...37",-1.26517028348694,-0.191801272829116,-0.63144460065866,-2.74531891389722,-0.662443734281283,-0.278805793429245,0.563722838361097,"XX","Activin","Pi3ki","Sim_Final"
"Bmp4ri+Pi3ki...38",-1.31644078436291,-0.276527333094641,-0.657033631142344,-2.85657182397337,-0.955070821293584,-0.290104282543963,-0.376106031170102,"XX","Bmp4ri","Pi3ki","Sim_Final"
"Fgf4+Pi3ki...39",-1.29508804526854,-0.16951473749412,-0.646376510921931,-2.81023807802281,-0.585470440654288,-0.285398775749505,-0.0528927688276277,"XX","Fgf4","Pi3ki","Sim_Final"
"Fgfri+Pi3ki...40",-1.43987239193731,-0.895124162630319,-0.718638162303685,-3.12440859762317,-3.09158215788555,-0.317304927179071,-0.0588059150466729,"XX","Fgfri","Pi3ki","Sim_Final"
"Gsk3i+Pi3ki...41",-1.30557087786884,-0.0202407010352022,-0.651606864221675,-2.83297797923532,-0.0699073858085209,-0.288255099753242,-0.0534221294908951,"XX","Gsk3i","Pi3ki","Sim_Final"
"Jaki+Pi3ki...42",-1.43795125672445,-0.126601780050355,-0.713291362546869,-3.10116242450537,-0.437257556773019,-1.8029814616541,-0.334145377468159,"XX","Jaki","Pi3ki","Sim_Final"
"Meki+Pi3ki...43",-1.26517028348694,0.612655028510637,-0.63144460065866,-2.74531891389722,-6.50962109689789,-0.278805793429245,-0.0516708957175055,"XX","Meki","Pi3ki","Sim_Final"
"NoLif...44",-0.126986008909779,-0.0948529431343198,-0.0594725839992838,-0.25856775011025,-0.32760334136809,-1.35083486177285,-0.250349343231811,"XX","NoLif",NA,"Sim_Final"
"Activin+NoLif...45",-0.126986008909779,-0.267077026465264,-0.0594725839992838,-0.25856775011025,-0.922431327710843,-1.35083486177285,0.365044390846791,"XX","Activin","NoLif","Sim_Final"
"NoLif+Bmp4ri...46",-0.181356626651397,-0.193876419901008,-0.0866088781847571,-0.376547667275984,-0.669610882628164,-1.36281652417557,-0.376119818608107,"XX","NoLif","Bmp4ri","Sim_Final"
