"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","x_status","Treatment_id","Perturbation1","Perturbation2","Category"
"Bmp4ri...55",-0.530517349847356,-0.881773054993674,0.26558841760759,-0.278756831290135,-7.40453073980625,0.0952163757169784,-0.767773540071123,"XO","Bmp4ri","Bmp4ri",NA,"Sim_Init"
"Activin+Bmp4ri...56",-0.971281950280705,-1.64854392927408,0.198478228316548,0.0110033902743692,-8.01243634282326,0.040925057430485,-4.84175853347835,"XO","Activin+Bmp4ri","Activin","Bmp4ri","Sim_Init"
"Fgf4...57",-1.20569737482597,1.3961136182267,-0.14838175363754,-0.683526636399418,1.59061166559535,-0.270744327922212,0.588198991601767,"XO","Fgf4","Fgf4",NA,"Sim_Init"
"Activin+Fgf4...58",-0.139877336330615,3.12066780764749,-0.0693159401315184,-0.257291806240497,2.20834454164651,-0.833307076856527,0.709230896915692,"XO","Activin+Fgf4","Activin","Fgf4","Sim_Init"
"Fgf4+Bmp4ri...59",-1.61900831519054,-0.0303899050254236,-0.018815413836389,-0.828104896674693,1.50107398943346,2.06605110103063,-1.08225728428161,"XO","Fgf4+Bmp4ri","Fgf4","Bmp4ri","Sim_Init"
"Fgfri...60",0.628670266988046,-0.195212670933613,1.06056459821601,1.44348650438474,1.26551715016661,0.571119538496567,-1.01016825998348,"XO","Fgfri","Fgfri",NA,"Sim_Init"
"Activin+Fgfri...61",0.620705553667293,-0.428735239571456,0.248344605879696,0.279217230210573,1.34179226007735,-0.309605959970378,1.23482101591592,"XO","Activin+Fgfri","Activin","Fgfri","Sim_Init"
"Bmp4ri+Fgfri...62",0.90970251773612,-0.811154896129924,0.933057078305256,0.389770421101689,0.892742087287774,-0.512969657249543,-2.54960784975879,"XO","Bmp4ri+Fgfri","Bmp4ri","Fgfri","Sim_Init"
"Fgf4+Fgfri...63",1.05063096337001,0.1643796612985,0.876555894024534,0.00996336060488849,1.89337047433912,0.629517192783055,-0.691041856348203,"XO","Fgf4+Fgfri","Fgf4","Fgfri","Sim_Init"
"Gsk3i...64",-3.75158884036183,-0.832228484699793,-0.582823541844301,-1.41380073665107,0.333734857097792,-1.72763618361922,1.17264323511525,"XO","Gsk3i","Gsk3i",NA,"Sim_Init"
"Activin+Gsk3i...65",-3.86370316643193,-0.88725641205364,-0.471923844064472,-1.25685863609273,-4.01608645278624,-0.0775954513310012,2.05076087679056,"XO","Activin+Gsk3i","Activin","Gsk3i","Sim_Init"
"Bmp4ri+Gsk3i...66",-4.16203955187503,0.890266957766652,0.100816709297085,-0.41377396059332,1.31592374717119,-3.5703204130827,-1.71480907598807,"XO","Bmp4ri+Gsk3i","Bmp4ri","Gsk3i","Sim_Init"
"Fgf4+Gsk3i...67",-4.7408858728614,1.9121685192811,0.779221963580982,-1.30199976526334,2.08900576850228,-3.75287232680663,-0.243664727696514,"XO","Fgf4+Gsk3i","Fgf4","Gsk3i","Sim_Init"
"Fgfri+Gsk3i...68",-1.00626230305796,0.0481720845572232,-0.0390099906608229,0.0971486298055924,0.892394884104153,-1.98531631878389,-0.65673122525965,"XO","Fgfri+Gsk3i","Fgfri","Gsk3i","Sim_Init"
"Igfri...69",0.815331581597928,-0.696857195084529,-0.564286896083977,-0.323188755736826,-2.6008106709358,0.129349029750608,-1.01705144339654,"XO","Igfri","Igfri",NA,"Sim_Init"
"Activin+Igfri...70",0.71327126491142,0.222525391796416,-0.844385413822555,0.052164442451028,-3.49179395747931,0.587299516954506,1.38279900092889,"XO","Activin+Igfri","Activin","Igfri","Sim_Init"
"Bmp4ri+Igfri...71",0.789452665967868,-0.349949287692332,0.324315353357531,-0.910369878292649,-1.17057200636447,-0.562194733099249,-2.4682150563654,"XO","Bmp4ri+Igfri","Bmp4ri","Igfri","Sim_Init"
"Fgf4+Igfri...72",1.05556723867179,1.62721044602609,-0.128312805153139,-0.576981927386645,1.50440003830473,0.478577575582902,0.252805644541854,"XO","Fgf4+Igfri","Fgf4","Igfri","Sim_Init"
"Fgfri+Igfri...73",2.53648168859366,1.02622859514447,0.832482726041821,0.894911782684617,2.0719502140196,-0.442634583056422,-1.40244313982392,"XO","Fgfri+Igfri","Fgfri","Igfri","Sim_Init"
"Gsk3i+Igfri...74",-0.457942793002871,-0.0795174653287243,-0.175587716339409,-1.002090685049,-0.968995784395857,-3.58463128684931,-0.841038565768721,"XO","Gsk3i+Igfri","Gsk3i","Igfri","Sim_Init"
"Jaki...75",-5.72988700996036,-0.29166988069498,-2.08438318390443,-1.19533871165804,0.766750843211644,1.81527672479408,-1.23800913054742,"XO","Jaki","Jaki",NA,"Sim_Init"
"Activin+Jaki...76",-5.6315192845318,-0.810879624872956,-1.76136824432817,-0.561753102183821,-7.93423736774999,1.2221631914489,0.965217453489586,"XO","Activin+Jaki","Activin","Jaki","Sim_Init"
"Bmp4ri+Jaki...77",-5.3825805165984,-0.52797169153441,-2.28995881997519,-1.25099282364238,0.45507781326369,0.0372140878257379,-4.05630782826204,"XO","Bmp4ri+Jaki","Bmp4ri","Jaki","Sim_Init"
"Fgf4+Jaki...78",-6.52246543622037,0.840583578238851,-2.16542254740055,-1.28072652896214,0.59896445080245,-2.28067071963226,-0.821995663996453,"XO","Fgf4+Jaki","Fgf4","Jaki","Sim_Init"
"Fgfri+Jaki...79",-2.59314515471989,-0.447953698012494,-1.20198692942766,-0.102296949826416,-1.77420801154569,-0.0803674937163894,-2.54050193570763,"XO","Fgfri+Jaki","Fgfri","Jaki","Sim_Init"
"Gsk3i+Jaki...80",-5.93051435156616,0.598516678950106,-1.86158156968725,-1.35654442744479,0.77654585750266,-0.49378696878278,0.0148374390152716,"XO","Gsk3i+Jaki","Gsk3i","Jaki","Sim_Init"
"Igfri+Jaki...81",-1.05162952359334,0.213046474441988,-1.13797828156819,-0.888036919835171,-0.450815264929507,1.47769126750967,-2.72811597507695,"XO","Igfri+Jaki","Igfri","Jaki","Sim_Init"
"Meki...82",-1.21918841377976,5.25670548857469,-0.420233498498534,0.010765090038852,1.69723509728834,-0.167586662699233,-0.420929941834292,"XO","Meki","Meki",NA,"Sim_Init"
"Activin+Meki...83",-0.169391277127915,5.54187591654973,0.0725916677259234,0.378277817429347,1.02825014685422,-0.585741808693417,0.591077117019202,"XO","Activin+Meki","Activin","Meki","Sim_Init"
