"","Gsk3_p","Mek_p","mTor_p","Akt_p","Erk_p","Stat3_p","Smad2_p","Replicate","x_status","Perturbation1","Perturbation2","Category","Treatment_id"
"...174",-1.5150763507832,-0.126774584782337,-0.0874628412503399,NA,-0.274576301043214,-0.238404603054142,-0.1307359873922,"R5","XX","Fgf4","Gsk3i","Exp_XX","Fgf4+Gsk3i"
"...175",-1.16523711741213,-0.897731948660951,-0.673904270897409,NA,-0.743760458808787,0.0278770497050853,0.35235869251078,"R5","XX","Fgf4","Igfri","Exp_XX","Fgf4+Igfri"
"...176",-0.366432269428067,0.139987717288213,-0.185310164648484,NA,NA,NA,NA,"R5","XX","Fgf4","Jaki","Exp_XX","Fgf4+Jaki"
"...177",-0.348385814010612,0.286628925925069,-0.0437855890076986,NA,-6.6078474806279,0.0941422111301803,-0.266180867621358,"R5","XX","Fgf4","Meki","Exp_XX","Fgf4+Meki"
"...178",-0.0833601103577265,-0.153143113291719,0.126458064018661,NA,-0.984574163621975,-0.280383754561532,0.339403465222388,"R5","XX","Fgf4",NA,"Exp_XX","Fgf4+NA"
"...179",-2.0216832138029,0.16459718463221,-1.10531084258326,NA,-0.899970250017055,-1.16042444198998,-0.605291988917764,"R5","XX","Fgf4","Pi3ki","Exp_XX","Fgf4+Pi3ki"
"...180",-1.22252285802935,-1.89455070141627,-0.888917161868259,NA,-2.56397104853779,-0.95912692057869,-0.499861579189748,"R5","XX","Fgfri","Igfri","Exp_XX","Fgfri+Igfri"
"...181",-0.435661854288609,-1.62834204778733,0.118790933267005,NA,-3.17305399165724,0.373219623579306,0.531372066813483,"R5","XX","Fgfri",NA,"Exp_XX","Fgfri+NA"
"...182",-1.59793328318749,-1.3635471840891,-0.952110988355454,NA,-2.62282938001793,-1.46972281588448,-0.0809711711503586,"R5","XX","Fgfri","Pi3ki","Exp_XX","Fgfri+Pi3ki"
"...183",-1.24460535610763,-0.00427972737723625,0.108504294029966,NA,-1.3817079869342,0.127042994772014,0.0844041207392114,"R5","XX","Gsk3i",NA,"Exp_XX","Gsk3i+NA"
"...184",-0.641217380916285,-0.493483245292961,-0.220538652959465,NA,-1.4999240371724,-0.0606319385604596,-0.369023094339281,"R5","XX","Igfri",NA,"Exp_XX","Igfri+NA"
"...185",-0.471021170705267,1.27183914745863,0.356839252533703,NA,-0.0402411823720925,-1.5459620601455,-0.361860857671927,"R5","XX","Jaki","Bmp4ri","Exp_XX","Jaki+Bmp4ri"
"...186",-1.07509249437413,0.704116714592199,-0.356422081041239,NA,-0.0700660608977366,-1.73537821649039,0.184344093117572,"R5","XX","Jaki","Gsk3i","Exp_XX","Jaki+Gsk3i"
"...187",-0.752834678301261,0.142312770234452,-0.02667833273753,NA,-1.46437804620705,-1.72417268191894,0.0177303327939538,"R5","XX","Jaki",NA,"Exp_XX","Jaki+NA"
"...188",-0.967117740418722,0.19403326024346,-0.770272665369639,NA,-5.55160142387241,-0.393023650736062,-0.229212471329345,"R5","XX","Meki","Igfri","Exp_XX","Meki+Igfri"
"...189",0.00897177041434929,0.579825302269117,0.0612846050135964,NA,-4.44151322994527,0.32259287440961,0.236591533938949,"R5","XX","Meki",NA,"Exp_XX","Meki+NA"
"...190",-1.8709517775939,0.612615237386787,-1.3247132213139,NA,-6.99606378092793,-0.173263003354639,0.53605746632103,"R5","XX","Meki","Pi3ki","Exp_XX","Meki+Pi3ki"
"...191",-0.409439848515557,-0.270918941542431,-0.0581982467451444,NA,-0.685271549662099,-1.34789687654606,-0.235804766407512,"R5","XX","NoLif",NA,"Exp_XX","NoLif+NA"
"...192",-1.54902368270654,0.0651704389412849,-0.742075773538989,NA,-0.858897766506925,-0.183674758397752,-0.207715512911096,"R5","XX","Pi3ki",NA,"Exp_XX","Pi3ki+NA"
"...193",-0.176059118788613,-1.31380936192046,-0.120093845490305,-0.423449739095044,-2.92129333509289,-0.245265434798828,-0.367561263138932,"R3","XO","Fgfri","Bmp4ri","Exp_XO","Fgfri+Bmp4ri"
"...194",-0.757833341878722,-0.0666490354350679,-0.565504993812668,-1.67137725253863,-1.31262796976857,-0.0548687985309287,-1.36157916558674,"R3","XO","Igfri","Bmp4ri","Exp_XO","Igfri+Bmp4ri"
"...195",0.127883230625381,2.90389136409127,-0.0540046550325335,0.570208734031126,-2.88505779890727,-0.383954640479871,-0.206669036112862,"R3","XO","Meki","Bmp4ri","Exp_XO","Meki+Bmp4ri"
"...196",-1.78678471557485,-0.161806268475409,-0.990810828545339,-2.08641475181747,-1.1867982793342,-0.137953733519318,-1.50063174639116,"R3","XO","Pi3ki","Bmp4ri","Exp_XO","Pi3ki+Bmp4ri"
