"","Treatment_id","pGsk3.XX_mean","pGsk3.XO_mean","pGsk3.XX_XO_pvalue","pGsk3.XX_0_pvalue","pGsk3.XO_0_pvalue","pMek.XX_mean","pMek.XO_mean","pMek.XX_XO_pvalue","pMek.XX_0_pvalue","pMek.XO_0_pvalue","pmTor.XX_mean","pmTor.XO_mean","pmTor.XX_XO_pvalue","pmTor.XX_0_pvalue","pmTor.XO_0_pvalue","pAkt.XX_mean","pAkt.XO_mean","pAkt.XX_XO_pvalue","pAkt.XX_0_pvalue","pAkt.XO_0_pvalue","pErk.XX_mean","pErk.XO_mean","pErk.XX_XO_pvalue","pErk.XX_0_pvalue","pErk.XO_0_pvalue","pStat3.XX_mean","pStat3.XO_mean","pStat3.XX_XO_pvalue","pStat3.XX_0_pvalue","pStat3.XO_0_pvalue","pSmad2.XX_mean","pSmad2.XO_mean","pSmad2.XX_XO_pvalue","pSmad2.XX_0_pvalue","pSmad2.XO_0_pvalue"
"11","Bmp4ri",-0.228569329222031,-0.156402175685558,0.683914875111876,0.0790914271579969,0.39242237863946,0.0103554601128721,-0.193850859288726,0.13388214828899,0.917595239440447,0.0359969781224845,0.0369484590033856,0.0566213242746519,0.790002908475328,0.164273887791857,0.466901850496562,-1.12261412274255,-0.108499430813809,0.231767799406441,0.223348662851877,0.449628718778303,-1.69861166216169,-1.79277649293011,0.812778446653505,0.00659998903833454,0.0327847542303557,-0.400136722555667,-0.00479448118181677,0.203953551471496,0.127228705852279,0.983331096789522,-0.38863444329182,-0.278004598634008,0.860041586964581,0.454094380460886,0.568003926286447
"12","Fgf4+Bmp4ri",-0.162921777611415,-0.446303911055662,0.113330381770923,0.172480413199493,0.0568096685339769,0.264513917448949,-0.0400837206537116,0.0515189431078097,0.0883569378260377,0.397236827963379,0.12477872610948,-0.0225643645889895,0.109970802893546,0.121613626266644,0.713259380853216,-1.0620445662592,-0.358846222725585,0.27506203129415,0.049945349817567,0.485540514748849,-0.74354073540928,0.505458403608466,0.165674950290699,0.0167136649703254,0.48235621661204,-0.0574369311563855,0.501509289873401,0.251403373451533,0.733679403639189,0.292198427544059,-0.763995100661138,-0.276537431443133,0.0991650283927063,0.0404947447421224,0.232870044671201
"13","Fgf4+Fgfri",-0.318189997830019,-0.366730277514477,0.705830542462728,0.0514386783508973,0.0583894410948453,-1.51277790320744,-0.805579166882752,0.320956768717756,0.106942094750708,0.0626131291956465,-0.116273212548077,-0.16776256491816,0.28200031809822,0.0723817184137573,0.0196651997775531,-1.13894265258359,-0.301816322951397,0.0930643070550664,0.0508285660019742,0.35212074409341,-3.43095960033812,-2.17869185811683,0.146245269247434,0.00231458107744794,0.0602288345087732,-0.150967094332752,0.136347948354548,0.257344282511773,0.145741057327874,0.538477213126816,-0.344838892200675,-0.159317731236434,0.342085885577038,0.138593502320021,0.201615227969952
"14","Fgf4+Gsk3i",-0.915228227608276,-1.04601247037944,0.752308042902648,0.0927176988589809,0.0497518142160205,0.0696784424205069,0.467107461010626,0.233857540958446,0.654670246358484,0.185719535610492,0.0023763676295672,0.126578157968577,0.680931931095839,0.96341221783972,0.673449290624023,-1.85014071180591,-0.613943588885176,0.264701095268213,0.0663466010745618,0.491626590748828,0.00758094214593466,1.3603980271407,0.00578497982353783,0.962488778212322,0.0257369773221562,-0.206930658744065,-0.720364442897062,0.215383934634365,0.0953109977539804,0.17703018840323,-0.168121493144052,-0.0482050336273883,0.155079677130998,0.0148508098875011,0.445426171396926
"15","Fgf4+Igfri",-0.565007079367542,-0.466621457634503,0.774530081438374,0.20060025640759,0.00192326499686899,-0.220984929620043,0.386889504153711,0.210816479991157,0.583551191769159,0.148298629768944,-0.442014786083623,-0.470850302029475,0.835863893752336,0.067554877999431,0.0029122887513638,-1.53110379321555,-0.631646256950778,0.327271881691544,0.0300843564775406,0.436166954905008,-0.467661852274645,0.72493904465388,0.0338217794129369,0.152661346975929,0.130710317058689,0.0980670920228659,0.113772158884178,0.917145937011434,0.532434526580721,0.0785808827508839,-0.13603856021151,-0.056649958675004,0.891591428172093,0.663844356100564,0.914390280051055
"16","Fgf4+Jaki",-0.538517846977043,-1.25666505848365,0.0108635832059931,0.0247278592466908,0.00915292647350984,0.191505994940309,0.177311926772695,0.893166177042245,0.104118156283363,0.135765919078478,-0.120830825302464,-0.453715193371303,0.0102553017189747,0.152945011033941,0.00506964577141224,-1.49623108755257,-0.587241623471847,0.372594818314293,0.00973805030047273,0.508432844519911,-0.917473918073106,0.121107359014361,0.0508508957827919,0.100405044747173,0.708440522005669,-1.74158160285397,-2.5526196919441,0.243052871198254,0.00234082227500647,0.0356241551009792,-0.437029207872331,-0.205025940616733,0.51956327631863,0.315447975973632,0.405981189829335
"17","Fgf4+Meki",-0.039546887338616,-0.145244609881838,0.59161367269372,0.821808943065022,0.239803779974282,0.368745452085751,4.04377116761547,0.027431449450103,0.0308011135033712,0.0237395592921953,0.0363176617914298,0.232792327864672,0.464306889348298,0.56675590120285,0.396651678323172,-0.362611904634678,-0.0714991400919195,0.374692866120902,0.212162147427859,0.788805909432497,-7.47908494010462,-1.12303163376404,0.00692558155965984,0.00792876786475182,0.116570651570094,-0.0744620985087559,0.0908744456499022,0.275843893226098,0.476753247072688,0.480772048791354,-0.116355293387031,-0.284456526206894,0.206999406848926,0.298514333082945,0.13878819135715
"18","Fgf4",-0.09417446084343,-0.344961438787465,0.0425040375694977,0.109180559966715,0.0342546842631725,0.0398861107837891,0.32444255325538,0.21271660472454,0.742495713573891,0.170939664987506,0.130862568677926,-0.0542916277032155,0.145123317635234,0.251730086388661,0.434064379264168,-0.971321963632671,-0.288391160128993,0.161484961317362,0.121113339922561,0.441895921711032,-0.769157424569457,0.743075904733799,0.0508612361950887,0.0360156523929854,0.207463062386396,-0.0621464607885949,-0.0924783269963434,0.910756752037826,0.664559763380648,0.712100087096439,-0.0119319396121244,0.131530295510434,0.522209741548948,0.95456317171016,0.0693579085164044
"19","Fgf4+Pi3ki",-1.41002958678609,-1.58397117047857,0.694225677508504,0.0482446009843619,0.024822397577303,0.240073557989053,0.515515042124873,0.0816756966937919,0.065249621996838,0.0317820209734293,-0.863466926138199,-0.677992638207944,0.311780544171746,0.0243799551818554,0.00795746758405175,-2.6826485879495,-0.932011165240512,0.339424400576994,0.0205082778804025,0.534500174094303,-0.285992930654524,0.935721586631622,0.0809070526580095,0.52698395886814,0.125513658836723,-0.38369719682033,0.234930352698192,0.300076598138364,0.435758825749194,0.55300281213416,-0.401495947710886,-0.120410676855716,0.398689869901682,0.299021942252981,0.589070454414478
"20","Fgfri+Igfri",-0.590373739103214,-0.499741040576884,0.844873273122342,0.203558949196473,0.234111957464096,-1.24219659950212,-0.557576486827379,0.24667816807912,0.0999216852826469,0.0162480446111392,-0.51943494430949,-0.603970940193703,0.693102542228568,0.107017282378816,0.00057418485434336,-1.07929318839742,-0.207564837715372,0.156368168843978,0.0459409906812041,0.564272143642829,-2.24538239923332,-1.86552019006815,0.443007499404734,0.0114659824977721,0.0364905684238082,-0.389334523624012,-0.113216343038111,0.528794525501986,0.390502160120112,0.452534430609313,-0.5829270304034,-0.35262242487593,0.515932553440971,0.00693812734574517,0.35230986800917
