"","Cell_line","Replicate","Treatment","Exp","phosP","totalP","Gel","Analyte","Well_no","log2Treatment","Treatment_Fctr","Mean_Com_phosP","Mean_Com_totalP","phosP_Norm_oCom","totalP_Norm_oCom","phosP_by_total","phosP_Mean_Rep","totalP_Mean_Rep","phosP_Norm_oMeanRep","totalP_Norm_oMeanRep","Norm_phosP_by_total_M1","Norm_phosP_by_total_M2","FCoXX_M1","FCoXX_M2","FCoCntrl_M1","FCoCntrl_M2"
"15","XX","R3",0.6,"SBDR",85.6748046875,11271.53515625,"Gel13","Smad2",16,0.678071905112638,"0.6",97.767333984375,10092.533203125,0.876313193742118,1.1168192295627,0.784650882207006,0.799210458589479,1.06622865987408,1.09647363134952,1.04744814277886,1.04189168804213,1.04680469282288,0.72405516743323,0.726639199946284,0.72405516743323,0.726639199946284
"16","XX","R3",1.77,"SBDR",82.59765625,11136.0859375,"Gel13","Smad2",17,1.46988597627446,"1.77",97.767333984375,10092.533203125,0.844838995642457,1.1033984940522,0.765669882817952,0.799210458589479,1.06622865987408,1.05709201695572,1.03486103457631,1.01668793699484,1.02148209434565,0.706540001131454,0.709061524928002,0.706540001131454,0.709061524928002
"17","XX","R3",5.33,"SBDR",75.3056640625,10916.8515625,"Gel13","Smad2",18,2.66220549965362,"5.33",97.767333984375,10092.533203125,0.770253836261253,1.08167606118152,0.712092893522944,0.799210458589479,1.06622865987408,0.963768464217383,1.01448788790696,0.945546208765613,0.950004899719192,0.657100566557122,0.659445649231345,0.657100566557122,0.659445649231345
"18","XX","R3",16,"SBDR",73.99658203125,10224.859375,"Gel13","Smad2",19,4.08746284125034,"16",97.767333984375,10092.533203125,0.756864067123647,1.01311129418272,0.747069025357391,0.799210458589479,1.06622865987408,0.947014718074925,0.950182012836121,0.991988954022812,0.996666644160373,0.689375619788855,0.691835886762096,0.689375619788855,0.691835886762096
"19","XX","R2",0,"SBDR",138.47314453125,12981.90234375,"Gel14","Smad2",2,0,"0",104.26220703125,12330.037109375,1.32812404872406,1.05286806751614,1.26143444720219,0.917737169190133,1.10323171780972,1.44717256019616,0.954348982647488,1.51754986385912,1.51639765589891,1.05461041044447,1.05260703074555,1.05461041044447,1.05260703074555
"20","XX","R2",0.2,"SBDR",121.634765625,13704.56640625,"Gel14","Smad2",3,0.263034405833794,"0.2",104.26220703125,12330.037109375,1.16662373729095,1.1114781151656,1.04961467200561,0.917737169190133,1.10323171780972,1.27119591148352,1.00747476456918,1.26272324823499,1.26176451876401,0.877520478775183,0.875853506123341,0.877520478775183,0.875853506123341
"21","XX","R2",0.6,"SBDR",115.0244140625,14414.2421875,"Gel14","Smad2",4,0.678071905112638,"0.6",104.26220703125,12330.037109375,1.10322251310126,1.16903477740065,0.943703758372593,0.917737169190133,1.10323171780972,1.20211161772473,1.05964572857058,1.13530870606717,1.134446716778,0.788974655133852,0.787475887635069,0.788974655133852,0.787475887635069
"22","XX","R2",1.77,"SBDR",93.01513671875,13077.25,"Gel14","Smad2",5,1.46988597627446,"1.77",104.26220703125,12330.037109375,0.892127064707838,1.06060102528458,0.84115236874155,0.917737169190133,1.10323171780972,0.972094293069883,0.961358351253917,1.01193578905327,1.0111674713201,0.703237529950437,0.701901632089897,0.703237529950437,0.701901632089897
"23","XX","R2",5.33,"SBDR",88.66796875,12919.09375,"Gel14","Smad2",6,2.66220549965362,"5.33",104.26220703125,12330.037109375,0.850432493946958,1.04777411741747,0.811656329174353,0.917737169190133,1.10323171780972,0.926662363144157,0.949731684199261,0.976451019369941,0.975709643640504,0.678577643371756,0.677288590408307,0.678577643371756,0.677288590408307
"24","XX","R2",16,"SBDR",86.64599609375,13186.91015625,"Gel14","Smad2",7,4.08746284125034,"16",104.26220703125,12330.037109375,0.83103934360204,1.06949476625853,0.777039186932452,0.917737169190133,1.10323171780972,0.905530876923509,0.969419886134014,0.934805383631275,0.934095627576518,0.649636307046972,0.648402232192101,0.649636307046972,0.648402232192101
"25","XO","R2",0,"SBDR",122.31494140625,15505.40234375,"Gel14","Smad2",8,0,"0",104.26220703125,12330.037109375,1.17314744133115,1.25753087409288,0.932897526016928,0.917737169190133,1.10323171780972,1.27830437811123,1.13986105891653,1.12230842969408,1.12145631093521,0.779940206165661,0.778458600863908,1.02135824746817,1.01924970896229
"26","XO","R2",0.2,"SBDR",82.22900390625,13075.359375,"Gel14","Smad2",9,0.263034405833794,"0.2",104.26220703125,12330.037109375,0.788675074580034,1.06044769038516,0.743718979946653,0.917737169190133,1.10323171780972,0.859369219267874,0.961219364224317,0.894720006474175,0.894040685459313,0.62177926125016,0.620598104742641,0.814241106641487,0.81256015019875
"27","XO","R2",0.6,"SBDR",86.6806640625,13417.55859375,"Gel14","Smad2",10,0.678071905112638,"0.6",104.26220703125,12330.037109375,0.831371851130291,1.08820099037237,0.763987405346693,0.917737169190133,1.10323171780972,0.905893189292904,0.986375729418672,0.919103632809011,0.91840579839368,0.63872448775607,0.637511141425239,0.836431457530195,0.834704690315945
"28","XO","R2",1.77,"SBDR",74.18115234375,13815.75390625,"Gel14","Smad2",11,1.46988597627446,"1.77",104.26220703125,12330.037109375,0.711486495979469,1.12049572792813,0.634974751126498,0.917737169190133,1.10323171780972,0.775261719656977,1.01564858029344,0.76389688680473,0.763316893952621,0.530864671083503,0.529856219531739,0.695185356280309,0.693750183953582
"29","XO","R2",5.33,"SBDR",69.06298828125,13516.27734375,"Gel14","Smad2",12,2.66220549965362,"5.33",104.26220703125,12330.037109375,0.662397145118462,1.09620735313708,0.604262636282122,0.917737169190133,1.10323171780972,0.721772166755544,0.99363291993945,0.726949135929303,0.726397195857326,0.505188096202039,0.504228420888728,0.661561007497414,0.660195250808461
"30","XO","R2",16,"SBDR",70.29345703125,13620.33984375,"Gel14","Smad2",13,4.08746284125034,"16",104.26220703125,12330.037109375,0.674198820769076,1.104647108758,0.610329593427445,0.917737169190133,1.10323171780972,0.734631704373519,1.00128294983315,0.734247898072945,0.733690416376246,0.510260318686029,0.509291007978025,0.668203255487789,0.66682378623942
"31","XO","R3",0,"SBDR",91.94921875,12376.2265625,"Gel14","Smad2",14,0,"0",104.26220703125,12330.037109375,0.881903629015263,1.00374609197971,0.878612266649888,0.799210458589479,1.06622865987408,1.10346857894193,0.941398528996821,1.16665747581849,1.17215880942348,0.810760258178417,0.813653726744978,1.06171815462744,1.06533131403591
"32","XO","R3",0.2,"SBDR",76.37890625,12961.703125,"Gel14","Smad2",15,0.263034405833794,"0.2",104.26220703125,12330.037109375,0.73256559998876,1.05122985519198,0.696865291991709,0.799210458589479,1.06622865987408,0.916611628533566,0.985932844195094,0.925326373646603,0.929689718656121,0.643048936939001,0.645343871683304,0.842094470930231,0.844960223528697
"33","XO","R3",0.6,"SBDR",70.98779296875,13229.21875,"Gel14","Smad2",16,0.678071905112638,"0.6",104.26220703125,12330.037109375,0.680858337743351,1.0729261098445,0.63458082667224,0.799210458589479,1.06622865987408,0.851913698608241,1.00628143870303,0.842622500902618,0.846595858616104,0.585574472832708,0.587664290770169,0.766829703875374,0.769439321076677
"34","XO","R3",1.77,"SBDR",63.4599609375,13242.29296875,"Gel14","Smad2",17,1.46988597627446,"1.77",104.26220703125,12330.037109375,0.608657372066558,1.07398646502705,0.566727227843814,0.799210458589479,1.06622865987408,0.761573332186835,1.00727593005602,0.752523703811823,0.756072203715302,0.522960959007968,0.524827319724548,0.684835176291964,0.687165755880988
"35","XO","R3",5.33,"SBDR",73.63720703125,14147.599609375,"Gel14","Smad2",18,2.66220549965362,"5.33",104.26220703125,12330.037109375,0.706269406029158,1.14740932925644,0.615533958127082,0.799210458589479,1.06622865987408,0.883708913514029,1.07613814225548,0.817331286082833,0.821185383933949,0.567998524208585,0.570025616507538,0.743813400904436,0.746344690753734
"36","XO","R3",16,"SBDR",69.93603515625,13277.68359375,"Gel14","Smad2",19,4.08746284125034,"16",104.26220703125,12330.037109375,0.67077071498485,1.07685674227651,0.622896889299147,0.799210458589479,1.06622865987408,0.839291713184896,1.00996792039306,0.82710808868608,0.831008288716992,0.574792843164289,0.57684418325799,0.752710792840997,0.755272361625666
