"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","10:38 AM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XO3"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","as_Vol65_allAnalytes"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","65 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 10:40:37 AM"
"BatchStopTime","1/26/2017 11:33:38 AM"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","73","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"23(1,G3)","Unknown21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","20"
"24(1,H3)","Unknown22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10"
"25(1,A4)","Unknown23","NaN","NaN","46","NaN","162.5","NaN","NaN","NaN","NaN","NaN","NaN","230","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","47","NaN","39.5","NaN","NaN","NaN","200","NaN","NaN","NaN","168","NaN","34","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","86","NaN","NaN","NaN","2689"
"26(1,B4)","Unknown24","NaN","NaN","47","NaN","114","NaN","NaN","NaN","NaN","NaN","NaN","256","NaN","NaN","NaN","NaN","NaN","NaN","42","NaN","51.5","NaN","41","NaN","NaN","NaN","161","NaN","NaN","NaN","141","NaN","34","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","66.5","NaN","NaN","NaN","3002"
"27(1,C4)","Unknown25","NaN","NaN","50","NaN","241.5","NaN","NaN","NaN","NaN","NaN","NaN","2298.5","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","46","NaN","35","NaN","NaN","NaN","223","NaN","NaN","NaN","163","NaN","32","NaN","29","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","145","NaN","NaN","NaN","3038"
"28(1,D4)","Unknown26","NaN","NaN","47","NaN","79","NaN","NaN","NaN","NaN","NaN","NaN","317.5","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","50","NaN","37","NaN","NaN","NaN","129","NaN","NaN","NaN","151","NaN","31","NaN","30","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","NaN","NaN","2675"
"29(1,E4)","Unknown27","NaN","NaN","68","NaN","233","NaN","NaN","NaN","NaN","NaN","NaN","243","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","43","NaN","38","NaN","NaN","NaN","215","NaN","NaN","NaN","139","NaN","33","NaN","26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","149","NaN","NaN","NaN","2399"
"30(1,F4)","Unknown28","NaN","NaN","43","NaN","150","NaN","NaN","NaN","NaN","NaN","NaN","236","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","46","NaN","32","NaN","NaN","NaN","140","NaN","NaN","NaN","162","NaN","33","NaN","24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","48","NaN","NaN","NaN","3423"
"33(1,A5)","Unknown29","NaN","NaN","51","NaN","224","NaN","NaN","NaN","NaN","NaN","NaN","179","NaN","NaN","NaN","NaN","NaN","NaN","40","NaN","44.5","NaN","36","NaN","NaN","NaN","207","NaN","NaN","NaN","145.5","NaN","30","NaN","27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","163.5","NaN","NaN","NaN","3590"
"34(1,B5)","Unknown30","NaN","NaN","45.5","NaN","216","NaN","NaN","NaN","NaN","NaN","NaN","230","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","43","NaN","35","NaN","NaN","NaN","218.5","NaN","NaN","NaN","155","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","94","NaN","NaN","NaN","3493"
"35(1,C5)","Unknown31","NaN","NaN","52","NaN","199","NaN","NaN","NaN","NaN","NaN","NaN","232","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","48","NaN","39","NaN","NaN","NaN","145","NaN","NaN","NaN","152.5","NaN","32","NaN","27.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","78","NaN","NaN","NaN","3098"
"36(1,D5)","Unknown32","NaN","NaN","48","NaN","218","NaN","NaN","NaN","NaN","NaN","NaN","111","NaN","NaN","NaN","NaN","NaN","NaN","37","NaN","47","NaN","32","NaN","NaN","NaN","192","NaN","NaN","NaN","161","NaN","35","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","109","NaN","NaN","NaN","2591"
"37(1,E5)","Unknown33","NaN","NaN","61","NaN","203","NaN","NaN","NaN","NaN","NaN","NaN","501.5","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","46","NaN","36","NaN","NaN","NaN","198","NaN","NaN","NaN","151","NaN","32","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100","NaN","NaN","NaN","3383"
