"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","10:38 AM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XO3"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","as_Vol65_allAnalytes"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","65 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 10:40:37 AM"
"BatchStopTime","1/26/2017 11:33:38 AM"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","73","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"10(1,B2)","Unknown10","NaN","NaN","53","NaN","288","NaN","NaN","NaN","NaN","NaN","NaN","266","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","43","NaN","38","NaN","NaN","NaN","208","NaN","NaN","NaN","190","NaN","41","NaN","36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","198","NaN","NaN","NaN","2823"
"11(1,C2)","Unknown11","NaN","NaN","43","NaN","112","NaN","NaN","NaN","NaN","NaN","NaN","224","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","38","NaN","32","NaN","NaN","NaN","107","NaN","NaN","NaN","121","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","NaN","NaN","3219"
"12(1,D2)","Unknown12","NaN","NaN","55","NaN","208","NaN","NaN","NaN","NaN","NaN","NaN","217","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","49","NaN","32","NaN","NaN","NaN","225","NaN","NaN","NaN","168","NaN","34","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","243","NaN","NaN","NaN","2952"
"13(1,E2)","Unknown13","NaN","NaN","45","NaN","265","NaN","NaN","NaN","NaN","NaN","NaN","400","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","36","NaN","36","NaN","NaN","NaN","255","NaN","NaN","NaN","156","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","176","NaN","NaN","NaN","3158"
"14(1,F2)","Unknown14","NaN","NaN","62","NaN","224","NaN","NaN","NaN","NaN","NaN","NaN","226","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","41","NaN","28","NaN","NaN","NaN","244","NaN","NaN","NaN","155","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","117","NaN","NaN","NaN","2940"
"17(1,A3)","Unknown15","NaN","NaN","38","NaN","301","NaN","NaN","NaN","NaN","NaN","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","38","NaN","28","NaN","NaN","NaN","245","NaN","NaN","NaN","132","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","116","NaN","NaN","NaN","3417"
"18(1,B3)","Unknown16","NaN","NaN","41","NaN","191","NaN","NaN","NaN","NaN","NaN","NaN","313","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","41","NaN","32","NaN","NaN","NaN","235","NaN","NaN","NaN","149","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","112","NaN","NaN","NaN","3000"
"19(1,C3)","Unknown17","NaN","NaN","51","NaN","326","NaN","NaN","NaN","NaN","NaN","NaN","138","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","60","NaN","36","NaN","NaN","NaN","235","NaN","NaN","NaN","185","NaN","32","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","233","NaN","NaN","NaN","2794"
"20(1,D3)","Unknown18","NaN","NaN","41","NaN","227","NaN","NaN","NaN","NaN","NaN","NaN","531","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","43","NaN","32","NaN","NaN","NaN","138","NaN","NaN","NaN","143","NaN","28","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","55","NaN","NaN","NaN","3240"
"21(1,E3)","Unknown19","NaN","NaN","58","NaN","244","NaN","NaN","NaN","NaN","NaN","NaN","573","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","58","NaN","28","NaN","NaN","NaN","192","NaN","NaN","NaN","132","NaN","36","NaN","25","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87","NaN","NaN","NaN","3295"
"22(1,F3)","Unknown20","NaN","NaN","38","NaN","122","NaN","NaN","NaN","NaN","NaN","NaN","235","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","41","NaN","36","NaN","NaN","NaN","121","NaN","NaN","NaN","155","NaN","28","NaN","36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","NaN","NaN","3112"
"23(1,G3)","Unknown21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","20"
"24(1,H3)","Unknown22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","10"
"25(1,A4)","Unknown23","NaN","NaN","36","NaN","132","NaN","NaN","NaN","NaN","NaN","NaN","276","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","57","NaN","28","NaN","NaN","NaN","208","NaN","NaN","NaN","175","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87","NaN","NaN","NaN","2689"
"26(1,B4)","Unknown24","NaN","NaN","36","NaN","137","NaN","NaN","NaN","NaN","NaN","NaN","266","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","53","NaN","32","NaN","NaN","NaN","168","NaN","NaN","NaN","156","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","57","NaN","NaN","NaN","3002"
"27(1,C4)","Unknown25","NaN","NaN","49","NaN","313","NaN","NaN","NaN","NaN","NaN","NaN","1968","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","57","NaN","38","NaN","NaN","NaN","224","NaN","NaN","NaN","168","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","143","NaN","NaN","NaN","3038"
"28(1,D4)","Unknown26","NaN","NaN","43","NaN","77","NaN","NaN","NaN","NaN","NaN","NaN","313","NaN","NaN","NaN","NaN","NaN","NaN","43","NaN","43","NaN","28","NaN","NaN","NaN","132","NaN","NaN","NaN","168","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","NaN","NaN","2675"
"29(1,E4)","Unknown27","NaN","NaN","49","NaN","207","NaN","NaN","NaN","NaN","NaN","NaN","268","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","36","NaN","28","NaN","NaN","NaN","225","NaN","NaN","NaN","126","NaN","36","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","161","NaN","NaN","NaN","2399"
"30(1,F4)","Unknown28","NaN","NaN","41","NaN","133","NaN","NaN","NaN","NaN","NaN","NaN","216","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","36","NaN","28","NaN","NaN","NaN","155","NaN","NaN","NaN","162","NaN","28","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","NaN","NaN","3423"
"33(1,A5)","Unknown29","NaN","NaN","77","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","143","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","36","NaN","36","NaN","NaN","NaN","225","NaN","NaN","NaN","132","NaN","36","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","163","NaN","NaN","NaN","3590"
"34(1,B5)","Unknown30","NaN","NaN","36","NaN","277","NaN","NaN","NaN","NaN","NaN","NaN","175","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","41","NaN","38","NaN","NaN","NaN","225","NaN","NaN","NaN","149","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87","NaN","NaN","NaN","3493"
"35(1,C5)","Unknown31","NaN","NaN","77","NaN","169","NaN","NaN","NaN","NaN","NaN","NaN","255","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","38","NaN","28","NaN","NaN","NaN","143","NaN","NaN","NaN","162","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","62","NaN","NaN","NaN","3098"
"36(1,D5)","Unknown32","NaN","NaN","36","NaN","226","NaN","NaN","NaN","NaN","NaN","NaN","95","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","51","NaN","28","NaN","NaN","NaN","176","NaN","NaN","NaN","168","NaN","36","NaN","32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","99","NaN","NaN","NaN","2591"
"37(1,E5)","Unknown33","NaN","NaN","58","NaN","207","NaN","NaN","NaN","NaN","NaN","NaN","553","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","32","NaN","28","NaN","NaN","NaN","191","NaN","NaN","NaN","137","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95","NaN","NaN","NaN","3383"
"38(1,F5)","Unknown34","NaN","NaN","36","NaN","132","NaN","NaN","NaN","NaN","NaN","NaN","256","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","43","NaN","36","NaN","NaN","NaN","122","NaN","NaN","NaN","132","NaN","28","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","NaN","NaN","3289"
"39(1,G5)","Unknown35","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","28"
"40(1,H5)","Unknown36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","13"
"41(1,A6)","Unknown37","NaN","NaN","58","NaN","156","NaN","NaN","NaN","NaN","NaN","NaN","234","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","71","NaN","66","NaN","NaN","NaN","156","NaN","NaN","NaN","132","NaN","32","NaN","32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","112","NaN","NaN","NaN","2450"
"42(1,B6)","Unknown38","NaN","NaN","32","NaN","175","NaN","NaN","NaN","NaN","NaN","NaN","384","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","63","NaN","32","NaN","NaN","NaN","200","NaN","NaN","NaN","149","NaN","28","NaN","38","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58","NaN","NaN","NaN","3015"
"43(1,C6)","Unknown39","NaN","NaN","36","NaN","91","NaN","NaN","NaN","NaN","NaN","NaN","289","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","32","NaN","28","NaN","NaN","NaN","111","NaN","NaN","NaN","137","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","NaN","NaN","3116"
"44(1,D6)","Unknown40","NaN","NaN","41","NaN","234","NaN","NaN","NaN","NaN","NaN","NaN","5666","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","57","NaN","28","NaN","NaN","NaN","207","NaN","NaN","NaN","138","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","112","NaN","NaN","NaN","3232"
"45(1,E6)","Unknown41","NaN","NaN","38","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","355","NaN","NaN","NaN","NaN","NaN","NaN","20","NaN","36","NaN","36","NaN","NaN","NaN","191","NaN","NaN","NaN","155","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","91","NaN","NaN","NaN","3327"
"46(1,F6)","Unknown42","NaN","NaN","38","NaN","41","NaN","NaN","NaN","NaN","NaN","NaN","254","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","43","NaN","28","NaN","NaN","NaN","71","NaN","NaN","NaN","132","NaN","28","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","NaN","NaN","3030"
"49(1,A7)","Unknown43","NaN","NaN","38","NaN","244","NaN","NaN","NaN","NaN","NaN","NaN","191","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","45","NaN","28","NaN","NaN","NaN","207","NaN","NaN","NaN","162","NaN","28","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","150","NaN","NaN","NaN","2853"
"50(1,B7)","Unknown44","NaN","NaN","57","NaN","122","NaN","NaN","NaN","NaN","NaN","NaN","132","NaN","NaN","NaN","NaN","NaN","NaN","43","NaN","38","NaN","32","NaN","NaN","NaN","127","NaN","NaN","NaN","132","NaN","28","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87","NaN","NaN","NaN","3101"
"51(1,C7)","Unknown45","NaN","NaN","36","NaN","208","NaN","NaN","NaN","NaN","NaN","NaN","132","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","32","NaN","28","NaN","NaN","NaN","199","NaN","NaN","NaN","155","NaN","28","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","121","NaN","NaN","NaN","2716"
"52(1,D7)","Unknown46","NaN","NaN","43","NaN","156","NaN","NaN","NaN","NaN","NaN","NaN","156","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","28","NaN","36","NaN","NaN","NaN","149","NaN","NaN","NaN","162","NaN","36","NaN","22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","111","NaN","NaN","NaN","2635"
"54(1,F7)","Unknown47","NaN","NaN","36","NaN","77","NaN","NaN","NaN","NaN","NaN","NaN","252","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","40","NaN","21","NaN","NaN","NaN","87","NaN","NaN","NaN","138","NaN","28","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","NaN","NaN","2832"
"55(1,G7)","Unknown48","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","22"
"56(1,H7)","Unknown49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","13"
"57(1,A8)","Unknown50","NaN","NaN","57","NaN","155","NaN","NaN","NaN","NaN","NaN","NaN","176","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","28","NaN","36","NaN","NaN","NaN","207","NaN","NaN","NaN","112","NaN","28","NaN","32","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77","NaN","NaN","NaN","3293"
"58(1,B8)","Unknown51","NaN","NaN","32","NaN","235","NaN","NaN","NaN","NaN","NaN","NaN","95","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","43","NaN","38","NaN","NaN","NaN","176","NaN","NaN","NaN","133","NaN","28","NaN","14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","117","NaN","NaN","NaN","2772"
"59(1,C8)","Unknown52","NaN","NaN","57","NaN","326","NaN","NaN","NaN","NaN","NaN","NaN","2816","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","32","NaN","28","NaN","NaN","NaN","176","NaN","NaN","NaN","143","NaN","32","NaN","38","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","175","NaN","NaN","NaN","3088"
"60(1,D8)","Unknown53","NaN","NaN","41","NaN","103","NaN","NaN","NaN","NaN","NaN","NaN","137","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","36","NaN","28","NaN","NaN","NaN","107","NaN","NaN","NaN","143","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","NaN","NaN","2784"
"62(1,F8)","Unknown54","NaN","NaN","51","NaN","62","NaN","NaN","NaN","NaN","NaN","NaN","176","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","36","NaN","28","NaN","NaN","NaN","121","NaN","NaN","NaN","143","NaN","36","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","NaN","NaN","3176"
"65(1,A9)","Unknown55","NaN","NaN","62","NaN","243","NaN","NaN","NaN","NaN","NaN","NaN","144","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","41","NaN","32","NaN","NaN","NaN","226","NaN","NaN","NaN","155","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","199","NaN","NaN","NaN","2972"
"66(1,B9)","Unknown56","NaN","NaN","36","NaN","121","NaN","NaN","NaN","NaN","NaN","NaN","122","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","36","NaN","28","NaN","NaN","NaN","155","NaN","NaN","NaN","184","NaN","36","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77","NaN","NaN","NaN","3173"
"67(1,C9)","Unknown57","NaN","NaN","58","NaN","215","NaN","NaN","NaN","NaN","NaN","NaN","254","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","36","NaN","28","NaN","NaN","NaN","155","NaN","NaN","NaN","137","NaN","28","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","102","NaN","NaN","NaN","2901"
"68(1,D9)","Unknown58","NaN","NaN","49","NaN","177","NaN","NaN","NaN","NaN","NaN","NaN","2511","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","38","NaN","32","NaN","NaN","NaN","191","NaN","NaN","NaN","176","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","225","NaN","NaN","NaN","2587"
"70(1,F9)","Unknown59","NaN","NaN","32","NaN","116","NaN","NaN","NaN","NaN","NaN","NaN","276","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","36","NaN","28","NaN","NaN","NaN","155","NaN","NaN","NaN","132","NaN","28","NaN","23","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58","NaN","NaN","NaN","3463"
"71(1,G9)","Unknown60","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","21"
"72(1,H9)","Unknown61","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","13"
"73(1,A10)","Unknown62","NaN","NaN","38","NaN","176","NaN","NaN","NaN","NaN","NaN","NaN","311","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","45","NaN","32","NaN","NaN","NaN","156","NaN","NaN","NaN","127","NaN","28","NaN","36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","122","NaN","NaN","NaN","2782"
"74(1,B10)","Unknown63","NaN","NaN","41","NaN","149","NaN","NaN","NaN","NaN","NaN","NaN","2048","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","38","NaN","36","NaN","NaN","NaN","176","NaN","NaN","NaN","133","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","122","NaN","NaN","NaN","2730"
"75(1,C10)","Unknown64","NaN","NaN","65","NaN","99","NaN","NaN","NaN","NaN","NaN","NaN","162","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","49","NaN","32","NaN","NaN","NaN","111","NaN","NaN","NaN","144","NaN","36","NaN","36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","NaN","NaN","2830"
"76(1,D10)","Unknown65","NaN","NaN","36","NaN","77","NaN","NaN","NaN","NaN","NaN","NaN","3912","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","36","NaN","28","NaN","NaN","NaN","77","NaN","NaN","NaN","183","NaN","28","NaN","13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","NaN","NaN","3341"
"78(1,F10)","Unknown66","NaN","NaN","58","NaN","111","NaN","NaN","NaN","NaN","NaN","NaN","386","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","45","NaN","36","NaN","NaN","NaN","149","NaN","NaN","NaN","144","NaN","32","NaN","36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","47","NaN","NaN","NaN","3521"
"81(1,A11)","Unknown67","NaN","NaN","47","NaN","244","NaN","NaN","NaN","NaN","NaN","NaN","209","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","38","NaN","31","NaN","NaN","NaN","225","NaN","NaN","NaN","132","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","156","NaN","NaN","NaN","2738"
"82(1,B11)","Unknown68","NaN","NaN","41","NaN","288","NaN","NaN","NaN","NaN","NaN","NaN","1742","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","32","NaN","23","NaN","NaN","NaN","207","NaN","NaN","NaN","121","NaN","28","NaN","21","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","208","NaN","NaN","NaN","2937"
"83(1,C11)","Unknown69","NaN","NaN","41","NaN","244","NaN","NaN","NaN","NaN","NaN","NaN","126","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","38","NaN","38","NaN","NaN","NaN","191","NaN","NaN","NaN","143","NaN","32","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","91","NaN","NaN","NaN","3113"
"89(1,A12)","Unknown70","NaN","NaN","87","NaN","132","NaN","NaN","NaN","NaN","NaN","NaN","176","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","32","NaN","38","NaN","NaN","NaN","156","NaN","NaN","NaN","177","NaN","32","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","80","NaN","NaN","NaN","2371"
"90(1,B12)","Unknown71","NaN","NaN","51","NaN","122","NaN","NaN","NaN","NaN","NaN","NaN","2636","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","38","NaN","38","NaN","NaN","NaN","168","NaN","NaN","NaN","168","NaN","28","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","117","NaN","NaN","NaN","2814"
"91(1,C12)","Unknown72","NaN","NaN","41","NaN","311","NaN","NaN","NaN","NaN","NaN","NaN","2401","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","36","NaN","18","NaN","NaN","NaN","226","NaN","NaN","NaN","143","NaN","32","NaN","36","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","112","NaN","NaN","NaN","2688"
"95(1,G12)","Unknown73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","29"

"DataType:","Std Dev"
