"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"33(1,A5)","Unknown5","NaN","NaN","45","NaN","183","NaN","NaN","NaN","NaN","NaN","NaN","7819","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","38","NaN","32","NaN","NaN","NaN","155","NaN","NaN","NaN","116","NaN","24","NaN","14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","132","NaN","NaN","NaN","3362"
"34(1,B5)","Unknown17","NaN","NaN","32","NaN","184","NaN","NaN","NaN","NaN","NaN","NaN","7529","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","43","NaN","32","NaN","NaN","NaN","169","NaN","NaN","NaN","121","NaN","24","NaN","6","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","111","NaN","NaN","NaN","4111"
"35(1,C5)","Unknown29","NaN","NaN","36","NaN","176","NaN","NaN","NaN","NaN","NaN","NaN","6159","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","38","NaN","28","NaN","NaN","NaN","131","NaN","NaN","NaN","117","NaN","36","NaN","11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","91","NaN","NaN","NaN","3939"
"36(1,D5)","Unknown41","NaN","NaN","36","NaN","155","NaN","NaN","NaN","NaN","NaN","NaN","3482","NaN","NaN","NaN","NaN","NaN","NaN","20","NaN","28","NaN","3","NaN","NaN","NaN","127","NaN","NaN","NaN","99","NaN","32","NaN","8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","143","NaN","NaN","NaN","3853"
"37(1,E5)","Unknown51","NaN","NaN","38","NaN","267","NaN","NaN","NaN","NaN","NaN","NaN","11843","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","47","NaN","32","NaN","NaN","NaN","126","NaN","NaN","NaN","132","NaN","28","NaN","7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","288","NaN","NaN","NaN","4055"
"38(1,F5)","Unknown57","NaN","NaN","28","NaN","138","NaN","NaN","NaN","NaN","NaN","NaN","7235","NaN","NaN","NaN","NaN","NaN","NaN","26","NaN","41","NaN","32","NaN","NaN","NaN","77","NaN","NaN","NaN","117","NaN","28","NaN","13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","43","NaN","NaN","NaN","3659"
"41(1,A6)","Unknown6","NaN","NaN","36","NaN","132","NaN","NaN","NaN","NaN","NaN","NaN","8893","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","43","NaN","38","NaN","NaN","NaN","168","NaN","NaN","NaN","112","NaN","23","NaN","14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","91","NaN","NaN","NaN","3836"
"42(1,B6)","Unknown18","NaN","NaN","36","NaN","143","NaN","NaN","NaN","NaN","NaN","NaN","8522","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","36","NaN","32","NaN","NaN","NaN","156","NaN","NaN","NaN","132","NaN","23","NaN","9","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","71","NaN","NaN","NaN","3810"
"43(1,C6)","Unknown30","NaN","NaN","43","NaN","117","NaN","NaN","NaN","NaN","NaN","NaN","9614","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","41","NaN","36","NaN","NaN","NaN","91","NaN","NaN","NaN","99","NaN","32","NaN","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","NaN","NaN","3445"
"44(1,D6)","Unknown42","NaN","NaN","36","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","10034","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","32","NaN","32","NaN","NaN","NaN","191","NaN","NaN","NaN","137","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","207","NaN","NaN","NaN","3815"
"45(1,E6)","Unknown52","NaN","NaN","32","NaN","176","NaN","NaN","NaN","NaN","NaN","NaN","9675","NaN","NaN","NaN","NaN","NaN","NaN","20","NaN","28","NaN","28","NaN","NaN","NaN","149","NaN","NaN","NaN","121","NaN","32","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","162","NaN","NaN","NaN","3779"
"46(1,F6)","Unknown58","NaN","NaN","38","NaN","70","NaN","NaN","NaN","NaN","NaN","NaN","7552","NaN","NaN","NaN","NaN","NaN","NaN","21","NaN","41","NaN","28","NaN","NaN","NaN","78","NaN","NaN","NaN","122","NaN","20","NaN","12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","NaN","NaN","3923"
"49(1,A7)","Unknown7","NaN","NaN","38","NaN","199","NaN","NaN","NaN","NaN","NaN","NaN","8190","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","36","NaN","36","NaN","NaN","NaN","184","NaN","NaN","NaN","95","NaN","32","NaN","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","121","NaN","NaN","NaN","3550"
"50(1,B7)","Unknown19","NaN","NaN","47","NaN","176","NaN","NaN","NaN","NaN","NaN","NaN","2408","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","36","NaN","22","NaN","NaN","NaN","126","NaN","NaN","NaN","112","NaN","22","NaN","5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","121","NaN","NaN","NaN","3683"
"51(1,C7)","Unknown31","NaN","NaN","38","NaN","209","NaN","NaN","NaN","NaN","NaN","NaN","986","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","21","NaN","28","NaN","NaN","NaN","127","NaN","NaN","NaN","95","NaN","28","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77","NaN","NaN","NaN","4352"
"52(1,D7)","Unknown43","NaN","NaN","38","NaN","207","NaN","NaN","NaN","NaN","NaN","NaN","3210","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","28","NaN","36","NaN","NaN","NaN","116","NaN","NaN","NaN","116","NaN","36","NaN","8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","137","NaN","NaN","NaN","3816"
"54(1,F7)","Unknown59","NaN","NaN","32","NaN","63","NaN","NaN","NaN","NaN","NaN","NaN","8194","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","38","NaN","17","NaN","NaN","NaN","77","NaN","NaN","NaN","131","NaN","28","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","NaN","NaN","3504"
"55(1,G7)","Unknown66","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","74"
"56(1,H7)","Unknown70","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","70"
"57(1,A8)","Unknown8","NaN","NaN","45","NaN","132","NaN","NaN","NaN","NaN","NaN","NaN","6678","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","32","NaN","32","NaN","NaN","NaN","143","NaN","NaN","NaN","112","NaN","28","NaN","9","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","66","NaN","NaN","NaN","3597"
"58(1,B8)","Unknown20","NaN","NaN","47","NaN","176","NaN","NaN","NaN","NaN","NaN","NaN","4634","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","36","NaN","32","NaN","NaN","NaN","191","NaN","NaN","NaN","116","NaN","28","NaN","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","111","NaN","NaN","NaN","3651"
"59(1,C8)","Unknown32","NaN","NaN","28","NaN","207","NaN","NaN","NaN","NaN","NaN","NaN","8206","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","36","NaN","32","NaN","NaN","NaN","149","NaN","NaN","NaN","112","NaN","32","NaN","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","126","NaN","NaN","NaN","3692"
"60(1,D8)","Unknown44","NaN","NaN","32","NaN","117","NaN","NaN","NaN","NaN","NaN","NaN","4829","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","28","NaN","28","NaN","NaN","NaN","91","NaN","NaN","NaN","132","NaN","19","NaN","5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","NaN","NaN","3984"
"62(1,F8)","Unknown60","NaN","NaN","36","NaN","77","NaN","NaN","NaN","NaN","NaN","NaN","8164","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","58","NaN","28","NaN","NaN","NaN","77","NaN","NaN","NaN","112","NaN","28","NaN","13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","NaN","NaN","3902"
"65(1,A9)","Unknown9","NaN","NaN","36","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","8167","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","36","NaN","18","NaN","NaN","NaN","177","NaN","NaN","NaN","132","NaN","32","NaN","12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","157","NaN","NaN","NaN","3420"
"66(1,B9)","Unknown21","NaN","NaN","45","NaN","155","NaN","NaN","NaN","NaN","NaN","NaN","2722","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","28","NaN","28","NaN","NaN","NaN","149","NaN","NaN","NaN","144","NaN","28","NaN","7","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77","NaN","NaN","NaN","4101"
"67(1,C9)","Unknown33","NaN","NaN","38","NaN","245","NaN","NaN","NaN","NaN","NaN","NaN","6163","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","32","NaN","32","NaN","NaN","NaN","143","NaN","NaN","NaN","99","NaN","24","NaN","12","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87","NaN","NaN","NaN","3811"
"68(1,D9)","Unknown45","NaN","NaN","32","NaN","224","NaN","NaN","NaN","NaN","NaN","NaN","9622","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","32","NaN","32","NaN","NaN","NaN","126","NaN","NaN","NaN","117","NaN","32","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","216","NaN","NaN","NaN","3692"
"70(1,F9)","Unknown61","NaN","NaN","36","NaN","207","NaN","NaN","NaN","NaN","NaN","NaN","7260","NaN","NaN","NaN","NaN","NaN","NaN","26","NaN","38","NaN","28","NaN","NaN","NaN","156","NaN","NaN","NaN","87","NaN","28","NaN","14","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","122","NaN","NaN","NaN","3623"
"73(1,A10)","Unknown10","NaN","NaN","47","NaN","255","NaN","NaN","NaN","NaN","NaN","NaN","7513","NaN","NaN","NaN","NaN","NaN","NaN","25","NaN","43","NaN","38","NaN","NaN","NaN","169","NaN","NaN","NaN","103","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95","NaN","NaN","NaN","4211"
"74(1,B10)","Unknown22","NaN","NaN","58","NaN","277","NaN","NaN","NaN","NaN","NaN","NaN","10469","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","41","NaN","38","NaN","NaN","NaN","176","NaN","NaN","NaN","117","NaN","28","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","325","NaN","NaN","NaN","3757"
"75(1,C10)","Unknown34","NaN","NaN","55","NaN","107","NaN","NaN","NaN","NaN","NaN","NaN","9665","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","41","NaN","38","NaN","NaN","NaN","87","NaN","NaN","NaN","132","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","NaN","NaN","4040"
"76(1,D10)","Unknown46","NaN","NaN","38","NaN","132","NaN","NaN","NaN","NaN","NaN","NaN","11339","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","36","NaN","32","NaN","NaN","NaN","77","NaN","NaN","NaN","132","NaN","28","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","NaN","NaN","3793"
"78(1,F10)","Unknown62","NaN","NaN","57","NaN","112","NaN","NaN","NaN","NaN","NaN","NaN","9651","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","38","NaN","38","NaN","NaN","NaN","176","NaN","NaN","NaN","117","NaN","36","NaN","11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77","NaN","NaN","NaN","3591"
"79(1,G10)","Unknown67","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","77"
"80(1,H10)","Unknown71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","72"
"81(1,A11)","Unknown11","NaN","NaN","32","NaN","224","NaN","NaN","NaN","NaN","NaN","NaN","6686","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","32","NaN","28","NaN","NaN","NaN","176","NaN","NaN","NaN","91","NaN","28","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87","NaN","NaN","NaN","4056"
"82(1,B11)","Unknown23","NaN","NaN","28","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","10070","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","28","NaN","23","NaN","NaN","NaN","143","NaN","NaN","NaN","127","NaN","28","NaN","8","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","224","NaN","NaN","NaN","4137"
"83(1,C11)","Unknown35","NaN","NaN","38","NaN","225","NaN","NaN","NaN","NaN","NaN","NaN","1746","NaN","NaN","NaN","NaN","NaN","NaN","17","NaN","28","NaN","28","NaN","NaN","NaN","191","NaN","NaN","NaN","132","NaN","32","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87","NaN","NaN","NaN","3933"
"89(1,A12)","Unknown12","NaN","NaN","63","NaN","190","NaN","NaN","NaN","NaN","NaN","NaN","6646","NaN","NaN","NaN","NaN","NaN","NaN","28","NaN","45","NaN","43","NaN","NaN","NaN","149","NaN","NaN","NaN","132","NaN","28","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","81","NaN","NaN","NaN","3981"
"90(1,B12)","Unknown24","NaN","NaN","51","NaN","184","NaN","NaN","NaN","NaN","NaN","NaN","9642","NaN","NaN","NaN","NaN","NaN","NaN","38","NaN","36","NaN","20","NaN","NaN","NaN","176","NaN","NaN","NaN","107","NaN","28","NaN","10","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","99","NaN","NaN","NaN","4077"
"91(1,C12)","Unknown36","NaN","NaN","43","NaN","216","NaN","NaN","NaN","NaN","NaN","NaN","11329","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","32","NaN","36","NaN","NaN","NaN","156","NaN","NaN","NaN","127","NaN","28","NaN","11","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","216","NaN","NaN","NaN","3819"
"94(1,F12)","Unknown63","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","95"

"DataType:","Std Dev"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"1(1,A1)","Unknown1","NaN","NaN","51.99","NaN","97.61","NaN","NaN","NaN","NaN","NaN","NaN","4164.45","NaN","NaN","NaN","NaN","NaN","NaN","21.87","NaN","24.03","NaN","29.62","NaN","NaN","NaN","53.77","NaN","NaN","NaN","51.61","NaN","127.31","NaN","48.33","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","199.89","NaN","NaN","NaN","3960"
"2(1,B1)","Unknown13","NaN","NaN","25.11","NaN","119.29","NaN","NaN","NaN","NaN","NaN","NaN","3204.78","NaN","NaN","NaN","NaN","NaN","NaN","29.14","NaN","31.2","NaN","22.44","NaN","NaN","NaN","57.41","NaN","NaN","NaN","41.3","NaN","19.09","NaN","289.34","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","127.99","NaN","NaN","NaN","4123"
"3(1,C1)","Unknown25","NaN","NaN","84.01","NaN","72.71","NaN","NaN","NaN","NaN","NaN","NaN","5759.71","NaN","NaN","NaN","NaN","NaN","NaN","28.03","NaN","29.08","NaN","24.89","NaN","NaN","NaN","46.33","NaN","NaN","NaN","57.32","NaN","22.04","NaN","14.43","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","51.33","NaN","NaN","NaN","4035"
"4(1,D1)","Unknown37","NaN","NaN","35.42","NaN","97.37","NaN","NaN","NaN","NaN","NaN","NaN","2886.02","NaN","NaN","NaN","NaN","NaN","NaN","35.3","NaN","40.78","NaN","25.6","NaN","NaN","NaN","46.08","NaN","NaN","NaN","43.51","NaN","23.88","NaN","19.46","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","75.94","NaN","NaN","NaN","4595"
"5(1,E1)","Unknown47","NaN","NaN","22.95","NaN","110.89","NaN","NaN","NaN","NaN","NaN","NaN","3761.64","NaN","NaN","NaN","NaN","NaN","NaN","292.28","NaN","28.35","NaN","24.29","NaN","NaN","NaN","43.77","NaN","NaN","NaN","44.75","NaN","23.92","NaN","17.71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","367.98","NaN","NaN","NaN","4006"
"6(1,F1)","Unknown53","NaN","NaN","28.35","NaN","263.39","NaN","NaN","NaN","NaN","NaN","NaN","10671.58","NaN","NaN","NaN","NaN","NaN","NaN","19.12","NaN","27.56","NaN","26.38","NaN","NaN","NaN","47.37","NaN","NaN","NaN","49.07","NaN","23.53","NaN","16.22","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","63.04","NaN","NaN","NaN","3645"
"7(1,G1)","Unknown64","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","8.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","15.18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","58"
"8(1,H1)","Unknown68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.03","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","1.49","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","44"
"9(1,A2)","Unknown2","NaN","NaN","28.5","NaN","73.7","NaN","NaN","NaN","NaN","NaN","NaN","9277.15","NaN","NaN","NaN","NaN","NaN","NaN","17.61","NaN","31.5","NaN","20.12","NaN","NaN","NaN","74.4","NaN","NaN","NaN","58.08","NaN","20.7","NaN","16.05","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","29.33","NaN","NaN","NaN","3196"
"10(1,B2)","Unknown14","NaN","NaN","23.94","NaN","125.64","NaN","NaN","NaN","NaN","NaN","NaN","3177.96","NaN","NaN","NaN","NaN","NaN","NaN","22.93","NaN","59.4","NaN","33.97","NaN","NaN","NaN","48.46","NaN","NaN","NaN","98","NaN","19.23","NaN","25.26","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","100.1","NaN","NaN","NaN","2940"
"11(1,C2)","Unknown26","NaN","NaN","41.93","NaN","44.18","NaN","NaN","NaN","NaN","NaN","NaN","7436.92","NaN","NaN","NaN","NaN","NaN","NaN","236.71","NaN","106","NaN","20.42","NaN","NaN","NaN","38.35","NaN","NaN","NaN","43.72","NaN","30.05","NaN","969.71","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","83.38","NaN","NaN","NaN","3839"
"12(1,D2)","Unknown38","NaN","NaN","24.01","NaN","115.33","NaN","NaN","NaN","NaN","NaN","NaN","3265.13","NaN","NaN","NaN","NaN","NaN","NaN","21.18","NaN","29.08","NaN","33.08","NaN","NaN","NaN","59.99","NaN","NaN","NaN","48.88","NaN","28.02","NaN","17.51","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","115.32","NaN","NaN","NaN","3901"
"13(1,E2)","Unknown48","NaN","NaN","34.41","NaN","114.98","NaN","NaN","NaN","NaN","NaN","NaN","12549.6","NaN","NaN","NaN","NaN","NaN","NaN","59.2","NaN","104.33","NaN","33.15","NaN","NaN","NaN","52.8","NaN","NaN","NaN","46.75","NaN","29.9","NaN","68.13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","251.84","NaN","NaN","NaN","3621"
"14(1,F2)","Unknown54","NaN","NaN","30.94","NaN","143.76","NaN","NaN","NaN","NaN","NaN","NaN","3281.27","NaN","NaN","NaN","NaN","NaN","NaN","21","NaN","34.64","NaN","20.01","NaN","NaN","NaN","48.09","NaN","NaN","NaN","45.53","NaN","19.27","NaN","16.57","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","296.44","NaN","NaN","NaN","3893"
"17(1,A3)","Unknown3","NaN","NaN","168","NaN","82.7","NaN","NaN","NaN","NaN","NaN","NaN","2946.73","NaN","NaN","NaN","NaN","NaN","NaN","25.09","NaN","77.49","NaN","25.12","NaN","NaN","NaN","46.46","NaN","NaN","NaN","50.63","NaN","21.18","NaN","18.73","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","39.45","NaN","NaN","NaN","3818"
"18(1,B3)","Unknown15","NaN","NaN","27.29","NaN","108.84","NaN","NaN","NaN","NaN","NaN","NaN","3262.6","NaN","NaN","NaN","NaN","NaN","NaN","28.39","NaN","160.15","NaN","27.8","NaN","NaN","NaN","54.55","NaN","NaN","NaN","43.53","NaN","34.39","NaN","34.4","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","210.66","NaN","NaN","NaN","3850"
"19(1,C3)","Unknown27","NaN","NaN","24.54","NaN","371.88","NaN","NaN","NaN","NaN","NaN","NaN","1745.39","NaN","NaN","NaN","NaN","NaN","NaN","67.58","NaN","86.28","NaN","30.93","NaN","NaN","NaN","60.21","NaN","NaN","NaN","166.61","NaN","21.3","NaN","15.16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","87.7","NaN","NaN","NaN","4257"
"20(1,D3)","Unknown39","NaN","NaN","48.72","NaN","97.21","NaN","NaN","NaN","NaN","NaN","NaN","4180.42","NaN","NaN","NaN","NaN","NaN","NaN","26.23","NaN","49.75","NaN","41.71","NaN","NaN","NaN","47.65","NaN","NaN","NaN","114.34","NaN","19.21","NaN","57.24","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","52.05","NaN","NaN","NaN","3703"
"21(1,E3)","Unknown49","NaN","NaN","33.5","NaN","110.98","NaN","NaN","NaN","NaN","NaN","NaN","3773.94","NaN","NaN","NaN","NaN","NaN","NaN","27.83","NaN","39.27","NaN","51.94","NaN","NaN","NaN","47.47","NaN","NaN","NaN","418.94","NaN","24.23","NaN","22.44","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","158.02","NaN","NaN","NaN","4043"
"22(1,F3)","Unknown55","NaN","NaN","26.24","NaN","60.88","NaN","NaN","NaN","NaN","NaN","NaN","6283.2","NaN","NaN","NaN","NaN","NaN","NaN","22.54","NaN","169.08","NaN","47.16","NaN","NaN","NaN","35.15","NaN","NaN","NaN","45.43","NaN","32.12","NaN","20.68","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","30.66","NaN","NaN","NaN","3470"
"25(1,A4)","Unknown4","NaN","NaN","32.68","NaN","57.34","NaN","NaN","NaN","NaN","NaN","NaN","4788.23","NaN","NaN","NaN","NaN","NaN","NaN","20.61","NaN","64.27","NaN","33.97","NaN","NaN","NaN","61.48","NaN","NaN","NaN","40.11","NaN","20.89","NaN","18.6","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","32.67","NaN","NaN","NaN","3859"
