"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"32(1,H4)","Unknown69","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","2","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","3","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64"
"33(1,A5)","Unknown5","NaN","NaN","43","NaN","219.5","NaN","NaN","NaN","NaN","NaN","NaN","6780","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","39","NaN","28","NaN","NaN","NaN","157","NaN","NaN","NaN","113","NaN","31","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","137","NaN","NaN","NaN","3362"
"34(1,B5)","Unknown17","NaN","NaN","39","NaN","197.5","NaN","NaN","NaN","NaN","NaN","NaN","7421","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","42","NaN","25","NaN","NaN","NaN","169","NaN","NaN","NaN","119","NaN","27","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","124","NaN","NaN","NaN","4111"
"35(1,C5)","Unknown29","NaN","NaN","42","NaN","179","NaN","NaN","NaN","NaN","NaN","NaN","5889","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","37","NaN","30","NaN","NaN","NaN","126","NaN","NaN","NaN","113","NaN","29","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","96","NaN","NaN","NaN","3939"
"36(1,D5)","Unknown41","NaN","NaN","33.5","NaN","170","NaN","NaN","NaN","NaN","NaN","NaN","2567.5","NaN","NaN","NaN","NaN","NaN","NaN","23","NaN","31","NaN","21","NaN","NaN","NaN","130","NaN","NaN","NaN","100","NaN","27","NaN","13","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","116","NaN","NaN","NaN","3853"
"37(1,E5)","Unknown51","NaN","NaN","45","NaN","230","NaN","NaN","NaN","NaN","NaN","NaN","10296","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","47","NaN","30","NaN","NaN","NaN","145","NaN","NaN","NaN","116","NaN","30","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","286","NaN","NaN","NaN","4055"
"38(1,F5)","Unknown57","NaN","NaN","42","NaN","116","NaN","NaN","NaN","NaN","NaN","NaN","7165","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","35","NaN","25","NaN","NaN","NaN","100","NaN","NaN","NaN","118","NaN","31","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","50","NaN","NaN","NaN","3659"
"41(1,A6)","Unknown6","NaN","NaN","41","NaN","150","NaN","NaN","NaN","NaN","NaN","NaN","7711","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","35","NaN","27","NaN","NaN","NaN","136","NaN","NaN","NaN","110.5","NaN","28","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","90.5","NaN","NaN","NaN","3836"
"42(1,B6)","Unknown18","NaN","NaN","45","NaN","144.5","NaN","NaN","NaN","NaN","NaN","NaN","7082","NaN","NaN","NaN","NaN","NaN","NaN","31","NaN","41","NaN","28","NaN","NaN","NaN","151","NaN","NaN","NaN","119","NaN","27","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","66","NaN","NaN","NaN","3810"
"43(1,C6)","Unknown30","NaN","NaN","43","NaN","97","NaN","NaN","NaN","NaN","NaN","NaN","7491","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","40","NaN","29","NaN","NaN","NaN","97","NaN","NaN","NaN","113","NaN","29","NaN","16","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","35","NaN","NaN","NaN","3445"
