"Program","xPONENT","","MAGPIX"
"Build","4.2.1324.0"
"Date","1/26/2017","12:34 PM"

"SN","MAGPX13254704"
"Batch","170126_Zeba_XO4"
"Version","1"
"Operator",""
"ComputerName","MAGPIX-PC"
"Country Code","409"
"ProtocolName","as_Vol65_allAnalytes"
"ProtocolVersion","1"
"ProtocolDescription",""
"ProtocolDevelopingCompany",""
"SampleVolume","65 uL"
"SampleWash","On"
"BatchStartTime","1/26/2017 12:41:44 PM"
"BatchStopTime","1/26/2017 1:32:30 PM"
"BatchDescription","<None>"
"ProtocolPlate","Name","BioPlex_FlatBottomPlate","Type","96","Plates","1"
"ProtocolMicrosphere","Map","BP 50 regions","Type","MagPlex","Count","50"
"ProtocolReporterGain","N/A"
"ProtocolAnalysis","Off"
"NormBead","None"
"ProtocolHeater","Off"

"Most Recent Calibration and Verification Results:"
"Last CAL Calibration","Passed 1/26/2017 9:34:28 AM"
"Last VER Verification","Passed 1/26/2017 9:35:33 AM"
"Last Fluidics Test","Passed 1/26/2017 9:36:48 AM"
""
"CALInfo:"
"Calibrator"
"Lot","ExpirationDate","CalibrationTime","CL1Temp","CL2Temp","RP1LongTemp","RP1ShortTemp","CL1Current","CL2Current","RP1LongCurrent","RP1ShortCurrent","CL1Factor","CL2Factor","RP1LongFactor","RP1ShortFactor","Result","MachineSerialNo"
"B36313","6/12/2018","1/26/2017 9:34:28 AM","26.2","26.2","26.2","26.2","200","233","418","418","0.00708","0.00703","0.00386","0.11432","Pass","MAGPX13254704"


"Samples","71","Min Events","50","Per Bead"

"Results"

"DataType:","Median"
"Location","Sample","Analyte 12","Analyte 13","Analyte 14","Analyte 15","Analyte 18","Analyte 19","Analyte 20","Analyte 21","Analyte 22","Analyte 25","Analyte 26","Analyte 27","Analyte 28","Analyte 29","Analyte 30","Analyte 33","Analyte 34","Analyte 35","Analyte 36","Analyte 37","Analyte 38","Analyte 39","Analyte 42","Analyte 43","Analyte 44","Analyte 45","Analyte 46","Analyte 47","Analyte 48","Analyte 51","Analyte 52","Analyte 53","Analyte 54","Analyte 55","Analyte 56","Analyte 57","Analyte 61","Analyte 62","Analyte 63","Analyte 64","Analyte 65","Analyte 66","Analyte 67","Analyte 72","Analyte 73","Analyte 74","Analyte 75","Analyte 76","Analyte 77","Analyte 78","Total Events"
"25(1,A4)","Unknown21","NaN","NaN","41","NaN","89","NaN","NaN","NaN","NaN","NaN","NaN","140","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","34","NaN","24","NaN","NaN","NaN","127","NaN","NaN","NaN","127","NaN","29","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","41","NaN","NaN","NaN","3168"
"26(1,B4)","Unknown22","NaN","NaN","36.5","NaN","66","NaN","NaN","NaN","NaN","NaN","NaN","198","NaN","NaN","NaN","NaN","NaN","NaN","27","NaN","33","NaN","24","NaN","NaN","NaN","99","NaN","NaN","NaN","107","NaN","26.5","NaN","15","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","36","NaN","NaN","NaN","2544"
"27(1,C4)","Unknown23","NaN","NaN","38","NaN","131","NaN","NaN","NaN","NaN","NaN","NaN","1539.5","NaN","NaN","NaN","NaN","NaN","NaN","32","NaN","33.5","NaN","22","NaN","NaN","NaN","130","NaN","NaN","NaN","120","NaN","28","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","47","NaN","NaN","NaN","2584"
"28(1,D4)","Unknown24","NaN","NaN","65","NaN","68","NaN","NaN","NaN","NaN","NaN","NaN","254","NaN","NaN","NaN","NaN","NaN","NaN","39","NaN","56","NaN","43","NaN","NaN","NaN","95","NaN","NaN","NaN","124","NaN","37","NaN","28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","55","NaN","NaN","NaN","2344"
"29(1,E4)","Unknown25","NaN","NaN","44.5","NaN","173.5","NaN","NaN","NaN","NaN","NaN","NaN","244","NaN","NaN","NaN","NaN","NaN","NaN","25","NaN","38","NaN","26","NaN","NaN","NaN","117","NaN","NaN","NaN","107","NaN","28","NaN","21.5","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","310","NaN","NaN","NaN","2841"
"30(1,F4)","Unknown26","NaN","NaN","41","NaN","109","NaN","NaN","NaN","NaN","NaN","NaN","152","NaN","NaN","NaN","NaN","NaN","NaN","31.5","NaN","38","NaN","25","NaN","NaN","NaN","123","NaN","NaN","NaN","121","NaN","29","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","54","NaN","NaN","NaN","2762"
"31(1,G4)","Unknown27","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","28"
"32(1,H4)","Unknown28","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","23"
"33(1,A5)","Unknown29","NaN","NaN","39","NaN","148.5","NaN","NaN","NaN","NaN","NaN","NaN","115.5","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","37","NaN","25","NaN","NaN","NaN","145","NaN","NaN","NaN","114","NaN","28","NaN","18","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","86","NaN","NaN","NaN","3113"
"34(1,B5)","Unknown30","NaN","NaN","36","NaN","102","NaN","NaN","NaN","NaN","NaN","NaN","161","NaN","NaN","NaN","NaN","NaN","NaN","29","NaN","35","NaN","23","NaN","NaN","NaN","129","NaN","NaN","NaN","109.5","NaN","28","NaN","19","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","51","NaN","NaN","NaN","2951"
"35(1,C5)","Unknown31","NaN","NaN","38","NaN","93.5","NaN","NaN","NaN","NaN","NaN","NaN","131","NaN","NaN","NaN","NaN","NaN","NaN","30","NaN","37","NaN","27","NaN","NaN","NaN","87","NaN","NaN","NaN","109","NaN","30","NaN","17","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","43","NaN","NaN","NaN","3016"
"36(1,D5)","Unknown32","NaN","NaN","44","NaN","115","NaN","NaN","NaN","NaN","NaN","NaN","86","NaN","NaN","NaN","NaN","NaN","NaN","33","NaN","40.5","NaN","28","NaN","NaN","NaN","124","NaN","NaN","NaN","125","NaN","29","NaN","20","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","NaN","64","NaN","NaN","NaN","2668"
