"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"155","t","0","0","0","1","0","0","0","0","0","0","0","0.7384203","0.3220089","1.0858245",NA,"0.110870389","1.2952402","1.4453031"
"156","t","0","0","0","1","0","1","0","0","0","0","0","0.4289157","0.2694239","0.5419479",NA,"0.169109422","0.5143681","0.7071746"
"157","t","0","0","0","1","0","0","0","0","1","0","0","0.3239625","0.3893648","0.5168756",NA,"0.162349024","0.3610517","0.9454210"
"158","t","0","0","0","0","1","0","0","0","0","0","0","0.4182062","0.9997046","1.0858245",NA,"0.383764193","1.0920531","1.0602497"
"159","t","0","0","0","1","1","0","0","0","0","0","0","0.5676037","0.4047267","0.9276760",NA,"0.125210725","0.7403743","1.0473586"
"160","t","0","0","0","0","1","1","0","0","0","0","0","0.3587684","1.3536189","0.6441659",NA,"0.824209619","0.8911018","1.2160422"
"161","t","0","0","0","0","1","0","0","1","0","0","0","0.7121821","1.9734121","1.0896818",NA,"0.016681290","0.9130037","1.1868238"
"162","t","0","0","0","0","1","0","0","0","1","0","0","0.2757697","1.7140325","0.5631630",NA,"1.487853426","0.7705193","1.0171898"
"163","t","0","0","0","0","0","1","0","0","0","0","0","0.6393574","0.7036928","0.8563163",NA,"0.353572007","0.9588440","0.7743066"
"164","t","0","0","0","0","0","0","1","0","0","0","0","0.5665328","1.1025111","0.9797493",NA,"0.362391734","0.3026720","1.0123656"
"165","t","0","1","0","0","0","0","1","0","0","0","0","0.7116466","2.4076809","1.2844744",NA,"0.972492358","0.3424673","0.7781602"
"166","t","0","0","0","1","0","0","1","0","0","0","0","0.5054886","0.3462334","0.9006750",NA,"0.081866726","0.2562168","0.7875670"
"167","t","0","0","0","0","1","0","1","0","0","0","0","0.4722892","1.6254062","0.7868852",NA,"0.952594378","0.3003303","1.1363002"
"168","t","0","0","0","0","0","1","1","0","0","0","0","0.4995984","1.1468242","0.5284474",NA,"0.930378669","0.2877376","1.0013081"
"169","t","0","0","0","0","0","0","1","1","0","0","0","0.6955823","1.3288035","0.6962392",NA,"0.013865481","0.3285396","1.0978803"
"170","t","0","0","0","0","0","0","1","0","1","0","0","0.2291834","1.4162482","0.4918033",NA,"0.766229316","0.1646062","0.8575229"
"171","t","0","0","0","0","0","0","0","1","0","0","0","1.0109772","1.4889217","1.0491803",NA,"0.046022615","1.2505761","1.1782058"
"172","t","0","0","0","0","0","1","0","1","0","0","0","0.4974565","1.1320532","0.5920926",NA,"0.021320699","0.7615319","0.8531004"
"173","t","0","0","0","0","0","0","0","1","1","0","0","0.2752343","1.5279173","0.4011572",NA,"0.007833845","0.8868346","1.4500046"
"174","t","0","0","0","0","0","0","0","0","0","1","0","0.7400268","0.8336780","0.9585342",NA,"0.621888761","0.3928643","0.8492112"
"175","t","1","0","0","0","0","0","0","0","0","1","0","0.7255689","1.6608567","0.8370299",NA,"1.102416809","0.2603424","0.7539009"
"176","t","0","1","0","0","0","0","0","0","0","1","0","0.8883534","1.0735598","1.1591128",NA,"0.791489954","0.3166664","0.8073453"
"177","t","0","0","1","0","0","0","0","0","0","1","0","0.9959839","1.2437223","0.8370299",NA,"0.949493043","0.2290766","1.3717997"
"178","t","0","0","0","1","0","0","0","0","0","1","0","0.9038822","0.2717873","0.9026037",NA,"0.100916780","0.3762023","0.9858550"
"179","t","0","0","0","0","1","0","0","0","0","1","0","0.6447122","1.1344165","1.0491803",NA,"0.557404624","0.3047031","0.7012387"
"180","t","0","0","0","0","0","1","0","0","0","1","0","0.5590361","0.6316100","0.6846673",NA,"0.665073992","0.4353158","0.8353766"
"181","t","0","0","0","0","0","0","1","0","0","1","0","0.6629183","0.9973412","0.9257473",NA,"0.815907182","0.2092132","0.6998278"
"182","t","0","0","0","0","0","0","0","1","0","1","0","0.9890228","1.3128508","0.9392478",NA,"0.004181607","0.4147985","0.8187982"
"183","t","0","0","0","0","0","0","0","0","1","1","0","0.3196787","1.0404727","0.5766635",NA,"0.881780903","0.4380758","0.9625487"
"184","t","0","0","0","0","0","0","0","0","1","0","0","0.3362784","1.0387001","0.5940212",NA,"0.551373652","0.8804575","0.8659073"
