"","ID.type","TR.Activin","TR.Bmp4ri","TR.Fgf4","TR.Fgfri","TR.Gsk3i","TR.Igfri","TR.Jaki","TR.Meki","TR.Pi3ki","TR.NoLif","DA.ALL","DV.Gsk3","DV.Mek","DV.mTor","DV.Akt","DV.Erk","DV.Stat3","DV.Smad2"
"147","t","0","0","1","0","0","0","0","0","0","0","0","0.75432526","1.0720721","0.9956835","0.9670330","1.76002148","0.7050877","1.1502739"
"148","t","0","1","1","0","0","0","0","0","0","0","0","0.65397924","0.9639640","0.9841727","0.9890110","3.13437127","2.2794991","1.0321445"
"149","t","0","0","1","1","0","0","0","0","0","0","0","0.68858131","0.7477477","0.8719424","0.9230769","0.39131693","1.3792909","0.8220474"
"150","t","0","0","1","0","1","0","0","0","0","0","0","0.41591696","1.0990991","0.8978417","0.9890110",NA,NA,NA
"151","t","0","0","1","0","0","1","0","0","0","0","0","0.72733564","1.1261261","0.7194245","0.9230769","1.38684919","1.1168657","0.5187381"
"152","t","0","0","1","0","0","0","1","0","0","0","0","0.35432526","1.1081081","0.7194245","1.0109890","1.03356474","0.2935773","0.6727921"
"153","t","0","0","1","0","0","0","0","1","0","0","0","0.80069204","7.1351351","1.0446043","1.0989011",NA,NA,NA
"154","t","0","0","1","0","0","0","0","0","1","0","0","0.26020761","1.4144144","0.5841727","1.0769231","2.68256701","1.8449456","0.7207198"
"155","t","0","0","0","1","0","0","0","0","0","0","0","0.54532872","0.6756757","0.7827338","1.0989011","0.20957724","1.2222582","0.9185781"
"156","t","0","0","0","1","0","1","0","0","0","0","0","0.46920415","0.7387387","0.6503597","1.0329670","0.16913296","1.0725903","0.5215889"
"157","t","0","0","0","1","0","0","0","0","1","0","0","0.22837370","0.8558559","0.5611511","1.0109890","0.40838836","0.8267386","0.7924550"
"158","t","0","0","0","0","1","0","0","0","0","0","0","0.44429066","0.8378378","0.8719424","0.8571429",NA,NA,NA
"159","t","0","0","0","1","1","0","0","0","0","0","0","0.35155709","0.7207207","0.7712230","1.0989011","0.21175909","0.7371323","0.7906651"
"160","t","0","0","0","0","1","1","0","0","0","0","0","0.48512111","1.0180180","0.6848921","0.9450549","0.38718458","0.5614254","0.6379236"
"161","t","0","0","0","0","1","0","0","1","0","0","0","0.53633218","3.2792793","0.8661871","1.2307692","0.10691582","0.7642568","0.8854697"
"162","t","0","0","0","0","1","0","0","0","1","0","0","0.19100346","1.0270270","0.5179856","1.0549451",NA,NA,NA
"163","t","0","0","0","0","0","1","0","0","0","0","0","0.60069204","0.8288288","0.6676259","1.0329670","0.54307186","1.2439988","0.9249374"
"164","t","0","0","0","0","0","0","1","0","0","0","0","0.40069204","0.9549550","0.7194245","0.9450549",NA,NA,NA
"165","t","0","1","0","0","0","0","1","0","0","0","0","0.28788927","0.8468468","0.5784173","1.0989011","0.46617652","0.2941750","0.3611346"
"166","t","0","0","0","1","0","0","1","0","0","0","0","0.30311419","0.7027027","0.6561151","0.9890110","0.09209233","0.2080194","0.5086470"
"167","t","0","0","0","0","1","0","1","0","0","0","0","0.27128028","0.8738739","0.5640288","1.0329670","1.12386924","0.2215549","0.9169813"
"168","t","0","0","0","0","0","1","1","0","0","0","0","0.44636678","1.1891892","0.6071942","0.9450549","0.80449742","0.3074242","0.4646073"
"169","t","0","0","0","0","0","0","1","1","0","0","0","0.45397924","2.6756757","0.8000000","1.1648352",NA,NA,NA
"170","t","0","0","0","0","0","0","1","0","1","0","0","0.17370242","0.8378378","0.4892086","1.0109890","0.64293179","0.3177385","0.5581292"
"171","t","0","0","0","0","0","0","0","1","0","0","0","0.56678201","2.0630631","0.8143885","1.0769231","0.28599522","0.8143701","0.9672867"
"172","t","0","0","0","0","0","1","0","1","0","0","0","0.35640138","2.0090090","0.6014388","1.1208791",NA,NA,NA
"173","t","0","0","0","0","0","0","0","1","1","0","0","0.18131488","2.1081081","0.4546763","1.0329670","0.31458994","0.7543581","1.0759891"
"174","t","0","0","0","0","0","0","0","0","0","1","0","0.74532872","0.8288288","0.9553957","1.0109890",NA,NA,NA
"175","t","1","0","0","0","0","0","0","0","0","1","0","1.04567474","0.7567568","1.0330935","1.1428571","3.22264200","0.8600590","2.7678937"
"176","t","0","1","0","0","0","0","0","0","0","1","0","0.58477509","0.8108108","1.0330935","1.1208791","0.50728378","0.2277844","1.0647623"
"177","t","0","0","1","0","0","0","0","0","0","1","0","0.62283737","1.0180180","0.8489209","1.2967033","1.45771510","0.2736769","0.9411011"
"178","t","0","0","0","1","0","0","0","0","0","1","0","0.43806228","0.7927928","0.7280576","1.1648352","0.05087223","0.5148348","1.0958860"
"179","t","0","0","0","0","1","0","0","0","0","1","0","0.41660900","0.8738739","0.8690647","1.1208791","0.87496131","0.2440955","0.9766507"
"180","t","0","0","0","0","0","1","0","0","0","1","0","0.47058824","0.7927928","0.6532374","1.1428571","0.81903524","0.3388702","0.8279588"
"181","t","0","0","0","0","0","0","1","0","0","1","0","0.33217993","0.8108108","0.7309353","0.9670330","0.18254419","0.1640387","0.6760635"
"182","t","0","0","0","0","0","0","0","1","0","1","0","0.44013841","1.5945946","0.6992806","1.1868132","0.08367278","0.4579578","0.8808359"
"183","t","0","0","0","0","0","0","0","0","1","1","0","0.15709343","0.7027027","0.4892086","0.9890110","0.25586549","0.3448938","0.9000719"
"184","t","0","0","0","0","0","0","0","0","1","0","0","0.16124567","0.7387387","0.5007194","0.9670330","0.44950602","1.0734324","0.9035276"
