"",".id","Gsk3_p.a_mean","Gsk3_p.a_pvalue","Mek_p.a_mean","Mek_p.a_pvalue","mTor_p.a_mean","mTor_p.a_pvalue","Akt_p.a_mean","Akt_p.a_pvalue","Erk_p.a_mean","Erk_p.a_pvalue","Stat3_p.a_mean","Stat3_p.a_pvalue","Smad2_p.a_mean","Smad2_p.a_pvalue","bCatenin.a_mean","bCatenin.a_pvalue","x_status","Perturbation1","Perturbation2"
"11","Bmp4ri",-0.228569329222031,0.0790914271579969,0.0103554601128721,0.917595239440447,0.0369484590033856,0.164273887791857,-1.12261412274255,0.223348662851877,-1.69861166216169,0.00659998903833454,-0.400136722555667,0.127228705852279,-0.38863444329182,0.454094380460886,-0.306075937358901,0.416097529044585,"XX","Bmp4ri",NA
"12","Fgf4+Bmp4ri",-0.162921777611415,0.172480413199493,0.264513917448949,0.0883569378260377,0.12477872610948,0.121613626266644,-1.0620445662592,0.049945349817567,-0.74354073540928,0.0167136649703254,-0.0574369311563855,0.733679403639189,-0.763995100661138,0.0404947447421224,0.101726034113145,0.827982109280667,"XX","Fgf4","Bmp4ri"
"13","Fgf4+Fgfri",-0.318189997830019,0.0514386783508973,-1.51277790320744,0.106942094750708,-0.116273212548077,0.0723817184137573,-1.13894265258359,0.0508285660019742,-3.43095960033812,0.00231458107744794,-0.150967094332752,0.145741057327874,-0.344838892200675,0.138593502320021,-0.357509317461356,0.0954355877565439,"XX","Fgf4","Fgfri"
"14","Fgf4+Gsk3i",-0.915228227608276,0.0927176988589809,0.0696784424205069,0.654670246358484,0.0023763676295672,0.96341221783972,-1.85014071180591,0.0663466010745618,0.00758094214593466,0.962488778212322,-0.206930658744065,0.0953109977539804,-0.168121493144052,0.0148508098875011,-0.0254778906797268,0.713676199888061,"XX","Fgf4","Gsk3i"
"15","Fgf4+Igfri",-0.565007079367542,0.20060025640759,-0.220984929620043,0.583551191769159,-0.442014786083623,0.067554877999431,-1.53110379321555,0.0300843564775406,-0.467661852274645,0.152661346975929,0.0980670920228659,0.532434526580721,-0.13603856021151,0.663844356100564,0.411022552964277,0.510443975379099,"XX","Fgf4","Igfri"
"16","Fgf4+Jaki",-0.538517846977043,0.0247278592466908,0.191505994940309,0.104118156283363,-0.120830825302464,0.152945011033941,-1.49623108755257,0.00973805030047273,-0.917473918073106,0.100405044747173,-1.74158160285397,0.00234082227500647,-0.437029207872331,0.315447975973632,-0.325114359244406,0.218923315810174,"XX","Fgf4","Jaki"
"17","Fgf4+Meki",-0.039546887338616,0.821808943065022,0.368745452085751,0.0308011135033712,0.0363176617914298,0.56675590120285,-0.362611904634678,0.212162147427859,-7.47908494010462,0.00792876786475182,-0.0744620985087559,0.476753247072688,-0.116355293387031,0.298514333082945,0.0570124556016639,0.742498848964809,"XX","Fgf4","Meki"
"18","Fgf4",-0.09417446084343,0.109180559966715,0.0398861107837891,0.742495713573891,0.130862568677926,0.251730086388661,-0.971321963632671,0.121113339922561,-0.769157424569457,0.0360156523929854,-0.0621464607885949,0.664559763380648,-0.0119319396121244,0.95456317171016,-0.235529614024371,0.296887214026134,"XX","Fgf4",NA
"19","Fgf4+Pi3ki",-1.41002958678609,0.0482446009843619,0.240073557989053,0.065249621996838,-0.863466926138199,0.0243799551818554,-2.6826485879495,0.0205082778804025,-0.285992930654524,0.52698395886814,-0.38369719682033,0.435758825749194,-0.401495947710886,0.299021942252981,0.545067565707084,0.567073894454971,"XX","Fgf4","Pi3ki"
"20","Fgfri+Igfri",-0.590373739103214,0.203558949196473,-1.24219659950212,0.0999216852826469,-0.51943494430949,0.107017282378816,-1.07929318839742,0.0459409906812041,-2.24538239923332,0.0114659824977721,-0.389334523624012,0.390502160120112,-0.5829270304034,0.00693812734574517,-0.518896312382853,0.0908410029159988,"XX","Fgfri","Igfri"
"21","Fgfri",-0.343195271067583,0.0440603517995591,-1.25563642755176,0.096518650022559,0.0568803430907133,0.701292022352331,-1.36073782294047,0.138612904857694,-2.96690068757551,0.0125355106128598,0.120291003590206,0.449114603656159,0.164972064648974,0.558416516009917,0.254194452522257,0.606924927946639,"XX","Fgfri",NA
"22","Fgfri+Pi3ki",-1.41590349227838,0.00548434105328844,-0.755013156274424,0.147824906684473,-0.822214900693091,0.0139611568692061,-2.72778942027514,0.0634558535397742,-1.97015035486414,0.0286649672017503,-0.716695081258815,0.242055846023843,-0.210311046911803,0.346046295358927,-0.366947801344155,0.488108299593093,"XX","Fgfri","Pi3ki"
